bin_lower,height,linear_eta,nbins,direction,speed,u,v,rmse,elev1,nvolumes_gr35_e1,elev2,nvolumes_gr35_e2,vcp,linear_eta_unfiltered,percent_rain
0,50,8.3016,26156,243.4870,10.7844,-9.6502,-4.8142,12.6202,0.4834,0,1.4941,0,32,8.3016,0
100,150,9.3869,41811,239.6630,12.8824,-11.1184,-6.5067,14.1997,0.4834,0,1.4941,0,32,9.3869,2.182540e-04
200,250,1.9991,41208,238.2283,11.7596,-9.9974,-6.1918,13.2694,0.4834,0,1.4941,0,32,1.9993,5.337302e-03
300,350,1.4629,38951,243.3376,7.7365,-6.9139,-3.4716,10.1262,0.4834,0,1.4941,0,32,1.4695,4.448590e-02
400,450,1.6322,36737,243.6242,7.7801,-6.9702,-3.4564,8.8282,0.4834,0,1.4941,0,32,1.6584,6.335470e-02
500,550,0.9548,31751,265.0534,7.3448,-7.3174,-0.6333,8.4145,0.4834,0,1.4941,0,32,0.9872,6.597222e-02
600,650,0.6354,22734,267.2880,7.0899,-7.0820,-0.3355,9.2645,0.4834,0,1.4941,0,32,0.6436,2.659314e-02
700,750,0.3216,22410,245.0396,7.2899,-6.6090,-3.0763,12.9007,0.4834,0,1.4941,0,32,0.3261,2.655229e-03
800,850,0.5616,21580,239.0391,6.6416,-5.6953,-3.4168,15.1819,0.4834,0,1.4941,0,32,0.5619,1.473064e-03
900,950,0.1895,21521,238.1033,5.9640,-5.0635,-3.1513,13.9532,0.4834,0,1.4941,0,32,0.1967,5.050505e-04
1000,1050,0.1426,21511,237.4676,5.3892,-4.5436,-2.8982,14.5803,0.4834,0,1.4941,0,32,0.1429,1.010101e-03
1100,1150,0.0998,21548,240.5881,5.3979,-4.7021,-2.6508,13.3947,0.4834,0,1.4941,0,32,0.1006,1.767677e-03
1200,1250,0.1119,21593,240.0583,5.8408,-5.0613,-2.9153,14.6110,0.4834,0,1.4941,0,32,0.1119,0
1300,1350,0.3514,20731,242.1063,6.4787,-5.7260,-3.0310,12.9999,0.4834,0,1.4941,0,32,0.3514,2.170139e-04
1400,1450,0.1396,17477,245.3498,6.6177,-6.0147,-2.7601,14.7962,0.4834,0,1.4941,0,32,0.1401,2.670940e-04
1500,1550,0.1652,14034,247.5616,6.8681,-6.3481,-2.6215,13.3417,0.4834,0,1.4941,0,32,0.1653,4.166667e-04
1600,1650,0.0998,13423,250.9514,6.9570,-6.5760,-2.2705,14.7515,0.4834,0,1.4941,0,32,0.1006,9.502924e-04
1700,1750,0.0887,14129,253.9793,7.1307,-6.8537,-1.9680,14.1046,0.4834,0,1.4941,0,32,0.0887,0
1800,1850,0.1073,13380,257.3681,7.2945,-7.1179,-1.5952,13.3948,0.4834,0,1.4941,0,32,0.1073,0
1900,1950,0.0751,13427,261.3453,7.3721,-7.2881,-1.1093,15.2180,0.4834,0,1.4941,0,32,0.0751,0
2000,2050,0.1371,13393,262.1782,7.5601,-7.4898,-1.0289,15.8344,0.4834,0,1.4941,0,32,0.1371,0
2100,2150,0.1404,13417,261.4138,7.6394,-7.5538,-1.1405,18.5350,0.4834,0,1.4941,0,32,0.1404,0
2200,2250,0.1402,13385,259.7840,7.8664,-7.7417,-1.3952,15.7926,0.4834,0,1.4941,0,32,0.1402,0
2300,2350,0.1979,9949,257.3849,7.9151,-7.7240,-1.7287,15.3851,0.4834,0,1.4941,0,32,0.1979,0
2400,2450,0.1080,7852,254.5409,8.0633,-7.7716,-2.1493,18.3638,0.4834,0,1.4941,0,32,0.1080,0
2500,2550,0.0999,7838,251.7956,8.0524,-7.6493,-2.5156,15.6698,0.4834,0,1.4941,0,32,0.0999,0
2600,2650,0.2259,7810,249.6018,7.9587,-7.4596,-2.7740,12.0394,0.4834,0,1.4941,0,32,0.2259,0
2700,2750,0.1511,7816,249.3005,7.8080,-7.3040,-2.7599,17.4683,0.4834,0,1.4941,0,32,0.1511,0
2800,2850,0.1345,7852,248.7051,7.8072,-7.2742,-2.8353,14.7404,0.4834,0,1.4941,0,32,0.1345,0
2900,2950,0.1338,7103,248.4826,7.7990,-7.2554,-2.8605,12.7942,0.4834,0,1.4941,0,32,0.1338,0
