bin_lower,height,linear_eta,nbins,direction,speed,u,v,rmse,elev1,nvolumes_gr35_e1,elev2,nvolumes_gr35_e2,vcp,linear_eta_unfiltered,percent_rain
0,50,126.1150,26410,2.6121,4.9438,0.2253,4.9387,12.5590,0.4834,0,1.4941,0,32,126.8494,6.660354e-03
100,150,70.9307,41820,3.2285,5.3819,0.3031,5.3734,11.7271,0.4834,0,1.4941,0,32,72.2427,5.632937e-02
200,250,66.5287,40909,355.0953,4.9159,-0.4203,4.8979,10.3739,0.4834,0,1.4941,0,32,66.6059,2.045635e-02
300,350,46.4856,38783,11.2875,3.4309,0.6715,3.3645,10.9589,0.4834,0,1.4941,0,32,46.4905,9.183250e-03
400,450,50.1034,36653,277.7029,1.9920,-1.9741,0.2670,10.5943,0.4834,0,1.4941,0,32,50.1069,5.897436e-03
500,550,40.0096,31801,312.2820,5.4324,-4.0191,3.6548,10.3229,0.4834,0,1.4941,0,32,40.0506,4.290675e-03
600,650,0.9515,22765,352.5035,5.1781,-0.6756,5.1338,8.9709,0.4834,0,1.4941,0,32,0.9516,4.493464e-04
700,750,7.1096,22505,1.9051,3.6129,0.1201,3.6109,11.6578,0.4834,0,1.4941,0,32,7.1096,0
800,850,2.3499,21612,358.5738,3.5268,-0.0878,3.5257,10.5140,0.4834,0,1.4941,0,32,2.3499,0
900,950,1.5626,21572,328.2427,4.9525,-2.6066,4.2110,9.1896,0.4834,0,1.4941,0,32,1.5626,0
1000,1050,1.7491,21527,300.3499,6.4478,-5.5642,3.2579,16.3541,0.4834,0,1.4941,0,32,1.7491,0
1100,1150,1.4895,21549,283.5340,5.3936,-5.2438,1.2622,11.2022,0.4834,0,1.4941,0,32,1.4895,0
1200,1250,0.3503,21577,290.1147,6.5611,-6.1609,2.2564,10.8623,0.4834,0,1.4941,0,32,0.3503,0
1300,1350,0.4976,20729,290.3721,8.2865,-7.7681,2.8846,14.2843,0.4834,0,1.4941,0,32,0.4976,9.548611e-04
1400,1450,0.1057,17436,291.6689,10.0875,-9.3746,3.7247,12.9843,0.4834,0,1.4941,0,32,0.1070,1.014957e-03
1500,1550,0.4151,14009,287.0013,11.9181,-11.3972,3.4848,13.8521,0.4834,0,1.4941,0,32,0.4152,2.777778e-04
1600,1650,3.3737,13425,284.8738,13.3967,-12.9479,3.4388,13.1633,0.4834,0,1.4941,0,32,3.3737,0
1700,1750,0.5887,14116,283.8465,12.7577,-12.3869,3.0532,13.5351,0.4834,0,1.4941,0,32,0.5893,6.944444e-04
1800,1850,0.0893,13399,282.5081,11.9192,-11.6363,2.5814,16.1503,0.4834,0,1.4941,0,32,0.0902,9.502924e-04
1900,1950,0.1170,13324,281.1521,11.2859,-11.0728,2.1828,16.6456,0.4834,0,1.4941,0,32,0.1174,4.385965e-04
2000,2050,0.1423,13375,279.8299,11.0053,-10.8437,1.8789,13.9353,0.4834,0,1.4941,0,32,0.1423,0
2100,2150,0.1508,13442,279.3608,10.9980,-10.8516,1.7888,12.6471,0.4834,0,1.4941,0,32,0.1508,0
2200,2250,0.0745,13424,278.4900,10.6525,-10.5357,1.5727,14.2693,0.4834,0,1.4941,0,32,0.0745,0
2300,2350,0.1477,9938,277.9258,10.1918,-10.0944,1.4054,13.2030,0.4834,0,1.4941,0,32,0.1477,0
2400,2450,0.2482,7849,277.2894,9.8657,-9.7860,1.2518,17.3957,0.4834,0,1.4941,0,32,0.2482,0
2500,2550,0.1877,7844,276.6008,9.7539,-9.6893,1.1212,8.0671,0.4834,0,1.4941,0,32,0.1877,0
2600,2650,0.1316,7812,274.9726,9.7639,-9.7271,0.8463,13.6763,0.4834,0,1.4941,0,32,0.1316,0
2700,2750,0.1228,7855,271.3584,9.4699,-9.4672,0.2245,14.1198,0.4834,0,1.4941,0,32,0.1228,0
2800,2850,0.1420,7870,268.8949,9.7174,-9.7156,-0.1874,13.3745,0.4834,0,1.4941,0,32,0.1420,0
2900,2950,0.1189,7132,270.1966,9.9112,-9.9111,0.0340,12.1854,0.4834,0,1.4941,0,32,0.1189,0
