bin_lower,height,linear_eta,nbins,direction,speed,u,v,rmse,elev1,nvolumes_gr35_e1,elev2,nvolumes_gr35_e2,vcp,linear_eta_unfiltered,percent_rain
0,50,142.1587,26381,217.5239,2.5097,-1.5287,-1.9905,10.1999,0.4834,0,1.4941,0,32,144.1027,3.661616e-03
100,150,84.0707,41549,165.3400,2.2706,0.5746,-2.1967,10.7516,0.4834,0,1.4941,0,32,121.6713,2.579365e-02
200,250,29.7895,41040,308.6395,0.6990,-0.5460,0.4365,9.5143,0.4834,0,1.4941,0,32,29.7895,9.126984e-04
300,350,21.0518,38861,15.1725,0.7030,0.1840,0.6785,10.6347,0.4834,0,1.4941,0,32,24.4281,9.141791e-03
400,450,10.6605,36615,206.3234,0.3204,-0.1421,-0.2872,10.4127,0.4834,0,1.4941,0,32,10.6752,1.217949e-03
500,550,2.2615,31595,250.6840,2.5524,-2.4088,-0.8443,7.7717,0.4834,0,1.4941,0,32,2.6915,7.688492e-03
600,650,3.5033,22771,202.0557,1.3417,-0.5038,-1.2436,9.7530,0.4834,0,1.4941,0,32,5.4921,1.940359e-02
700,750,0.5317,22486,183.3270,1.2464,-0.0723,-1.2443,10.8713,0.4834,0,1.4941,0,32,0.5580,2.450980e-03
800,850,0.3464,21546,206.0341,1.1538,-0.5064,-1.0368,10.9257,0.4834,0,1.4941,0,32,0.3482,2.441077e-03
900,950,1.9677,21562,147.7595,1.5332,0.8179,-1.2968,12.0236,0.4834,0,1.4941,0,32,1.9677,1.262626e-04
1000,1050,0.4873,21527,67.3261,3.9442,3.6394,1.5204,9.0083,0.4834,0,1.4941,0,32,0.4873,0
1100,1150,0.5843,21513,65.1093,4.5105,4.0915,1.8984,13.3124,0.4834,0,1.4941,0,32,0.5843,0
1200,1250,0.1624,21549,69.5206,4.0946,3.8358,1.4326,11.9825,0.4834,0,1.4941,0,32,0.1800,5.050505e-04
1300,1350,0.3430,20784,78.6950,3.5410,3.4723,0.6941,12.9676,0.4834,0,1.4941,0,32,0.3578,7.812500e-04
1400,1450,0.2827,17465,88.8290,3.9618,3.9610,0.0810,14.4770,0.4834,0,1.4941,0,32,0.2827,1.762821e-03
1500,1550,0.0830,14046,92.8072,4.0677,4.0628,-0.1992,12.7594,0.4834,0,1.4941,0,32,0.1014,2.986111e-03
1600,1650,0.1561,13399,98.1648,4.2018,4.1592,-0.5967,17.2182,0.4834,0,1.4941,0,32,0.1561,0
1700,1750,2.2581,14109,99.2250,4.7820,4.7202,-0.7666,18.6767,0.4834,0,1.4941,0,32,2.2581,0
1800,1850,0.0892,13434,100.1405,5.3232,5.2400,-0.9372,15.2580,0.4834,0,1.4941,0,32,0.0892,0
1900,1950,0.1161,13413,96.9182,5.6385,5.5974,-0.6792,10.1644,0.4834,0,1.4941,0,32,0.1161,0
2000,2050,0.1450,13373,96.5790,6.4118,6.3696,-0.7346,16.7112,0.4834,0,1.4941,0,32,0.1452,7.309942e-05
2100,2150,0.1446,13408,96.7799,5.9593,5.9176,-0.7035,12.1059,0.4834,0,1.4941,0,32,0.1449,1.461988e-04
2200,2250,0.1143,13398,104.0674,6.1028,5.9198,-1.4834,17.7199,0.4834,0,1.4941,0,32,0.1143,0
2300,2350,0.1243,9961,107.6547,6.4649,6.1604,-1.9607,14.7511,0.4834,0,1.4941,0,32,0.1243,0
2400,2450,0.5207,7853,107.6567,6.6443,6.3313,-2.0153,14.4085,0.4834,0,1.4941,0,32,0.5207,0
2500,2550,0.1148,7855,109.4687,6.7353,6.3502,-2.2448,10.2435,0.4834,0,1.4941,0,32,0.1161,5.050505e-04
2600,2650,0.1290,7837,110.7801,7.0233,6.5664,-2.4917,15.2973,0.4834,0,1.4941,0,32,0.1290,0
2700,2750,0.1419,7873,110.7524,7.4214,6.9399,-2.6296,16.9041,0.4834,0,1.4941,0,32,0.1419,0
2800,2850,0.1410,7870,110.7442,7.5325,7.0441,-2.6680,10.3707,0.4834,0,1.4941,0,32,0.1410,0
2900,2950,0.1272,7092,110.1730,7.5986,7.1325,-2.6204,14.5766,0.4834,0,1.4941,0,32,0.1272,0
