bin_lower,height,linear_eta,nbins,direction,speed,u,v,rmse,elev1,nvolumes_gr35_e1,elev2,nvolumes_gr35_e2,vcp,linear_eta_unfiltered,percent_rain
0,50,19.6293,26283,183.3654,2.8786,-0.1690,-2.8736,8.7089,0.4834,0,1.4941,0,32,20.6192,3.311237e-02
100,150,23.2282,41650,152.4016,4.5194,2.0937,-4.0052,11.8179,0.4834,0,1.4941,0,32,23.7773,3.783730e-02
200,250,24.8486,41137,155.9824,2.2982,0.9354,-2.0992,11.6319,0.4834,0,1.4941,0,32,24.8979,1.250000e-02
300,350,11.8189,38936,93.3153,3.1286,3.1234,-0.1809,11.9881,0.4834,0,1.4941,0,32,11.8198,4.830017e-03
400,450,12.3785,36660,116.5133,2.9184,2.6115,-1.3028,10.1356,0.4834,0,1.4941,0,32,12.3786,1.303419e-03
500,550,3.5771,31781,180.7762,3.5220,-0.0477,-3.5217,8.8146,0.4834,0,1.4941,0,32,3.5771,0
600,650,6.1366,22816,193.4386,3.4657,-0.8054,-3.3708,10.7229,0.4834,0,1.4941,0,32,6.1366,0
700,750,5.4007,22500,219.2623,3.9603,-2.5064,-3.0663,11.8193,0.4834,0,1.4941,0,32,5.4007,0
800,850,1.0009,21615,263.7288,2.3430,-2.3290,-0.2559,10.4519,0.4834,0,1.4941,0,32,1.0009,0
900,950,1.6512,21571,276.2522,2.9554,-2.9378,0.3219,8.7229,0.4834,0,1.4941,0,32,1.6512,0
1000,1050,4.9941,21466,248.8326,3.6211,-3.3768,-1.3076,13.0048,0.4834,0,1.4941,0,32,4.9988,5.050505e-04
1100,1150,0.8676,21518,245.4539,4.6758,-4.2533,-1.9425,11.5964,0.4834,0,1.4941,0,32,0.8676,0
1200,1250,0.9741,21535,247.2839,4.8333,-4.4584,-1.8665,9.1655,0.4834,0,1.4941,0,32,0.9741,0
1300,1350,0.8206,20788,246.9268,4.4386,-4.0836,-1.7395,14.9551,0.4834,0,1.4941,0,32,0.8206,0
1400,1450,1.0720,17494,243.2483,3.7295,-3.3303,-1.6787,11.7911,0.4834,0,1.4941,0,32,1.0720,1.228632e-03
1500,1550,0.3761,14033,216.3435,2.7593,-1.6353,-2.2226,12.3814,0.4834,0,1.4941,0,32,0.3768,1.388889e-04
1600,1650,0.1229,13421,179.6362,3.0724,0.0195,-3.0723,15.6200,0.4834,0,1.4941,0,32,0.1237,4.385965e-04
1700,1750,0.1342,14041,163.3716,3.9453,1.1290,-3.7803,12.2863,0.4834,0,1.4941,0,32,0.2634,5.902778e-03
1800,1850,0.0692,13392,153.5482,4.9828,2.2196,-4.4612,8.9460,0.4834,0,1.4941,0,32,0.1142,3.728070e-03
1900,1950,0.1163,13376,148.8765,5.6289,2.9095,-4.8186,8.8422,0.4834,0,1.4941,0,32,0.5047,6.944444e-03
2000,2050,0.2844,13356,155.1365,5.9187,2.4886,-5.3701,12.9053,0.4834,0,1.4941,0,32,1.2448,7.383041e-03
2100,2150,0.4885,13428,158.1155,6.6750,2.4880,-6.1940,10.1220,0.4834,0,1.4941,0,32,1.3701,4.970760e-03
2200,2250,0.6376,13430,157.5694,7.0670,2.6965,-6.5323,6.7935,0.4834,0,1.4941,0,32,0.9474,4.751462e-03
2300,2350,0.3734,9951,151.6533,7.4446,3.5348,-6.5520,7.6104,0.4834,0,1.4941,0,32,1.2643,7.738095e-03
2400,2450,0.9424,7847,142.9985,7.9948,4.8115,-6.3848,6.4529,0.4834,0,1.4941,0,32,3.2253,1.199495e-02
2500,2550,0.2281,7863,140.1602,8.1941,5.2495,-6.2918,5.6328,0.4834,0,1.4941,0,32,1.3882,1.666667e-02
2600,2650,0.2859,7838,133.8471,8.1869,5.9043,-5.6713,7.3891,0.4834,0,1.4941,0,32,1.3505,1.363636e-02
2700,2750,0.2019,7872,135.4417,8.8662,6.2208,-6.3175,4.9559,0.4834,0,1.4941,0,32,1.1469,9.595960e-03
2800,2850,0.6819,7854,132.8140,9.5990,7.0415,-6.5237,13.9453,0.4834,0,1.4941,0,32,0.8477,3.535354e-03
2900,2950,0.1316,7111,134.1073,9.7655,7.0120,-6.7968,8.6226,0.4834,0,1.4941,0,32,0.1334,1.388889e-04
