bin_lower,height,linear_eta,nbins,direction,speed,u,v,rmse,elev1,nvolumes_gr35_e1,elev2,nvolumes_gr35_e2,vcp,linear_eta_unfiltered,percent_rain
0,50,8.8602,26402,306.2578,4.4295,-3.5718,2.6197,11.9167,0.4834,0,1.4941,0,32,8.8602,0
100,150,16.4414,41822,306.4307,5.2800,-4.2482,3.1356,12.0712,0.4834,0,1.4941,0,32,16.4414,0
200,250,5.6590,41256,310.0094,6.2276,-4.7699,4.0038,12.5393,0.4834,0,1.4941,0,32,5.6590,0
300,350,1.4743,39007,299.7036,5.7214,-4.9697,2.8351,11.9482,0.4834,0,1.4941,0,32,1.4744,4.560531e-04
400,450,2.3549,36801,292.3196,5.5554,-5.1392,2.1098,11.3631,0.4834,0,1.4941,0,32,2.3550,3.418803e-04
500,550,1.9821,31832,274.6972,6.5139,-6.4920,0.5334,10.4905,0.4834,0,1.4941,0,32,2.0310,1.240079e-03
600,650,0.7877,22713,269.8787,7.3158,-7.3157,-0.0155,10.4936,0.4834,0,1.4941,0,32,0.8708,1.082516e-02
700,750,0.4462,22486,273.5686,6.8527,-6.8394,0.4265,13.0531,0.4834,0,1.4941,0,32,0.4490,2.614379e-03
800,850,0.5944,21578,275.6594,6.5550,-6.5230,0.6464,14.8942,0.4834,0,1.4941,0,32,0.5944,0
900,950,0.4262,21505,278.3050,6.4749,-6.4070,0.9353,11.8081,0.4834,0,1.4941,0,32,0.4275,5.471380e-04
1000,1050,0.3395,21521,281.7572,5.9682,-5.8430,1.2161,11.7997,0.4834,0,1.4941,0,32,0.3586,3.198653e-03
1100,1150,0.2328,21540,284.6542,5.2800,-5.1082,1.3358,16.4330,0.4834,0,1.4941,0,32,0.2415,2.020202e-03
1200,1250,0.1751,21596,284.3297,4.5726,-4.4304,1.1317,16.3148,0.4834,0,1.4941,0,32,0.1773,4.208754e-04
1300,1350,0.4481,20731,286.7263,4.1474,-3.9719,1.1936,17.1340,0.4834,0,1.4941,0,32,0.4553,2.039931e-03
1400,1450,0.1673,17481,288.3505,3.2376,-3.0730,1.0193,15.0201,0.4834,0,1.4941,0,32,0.1709,2.670940e-03
1500,1550,0.3192,14036,284.8634,2.6010,-2.5139,0.6672,16.3247,0.4834,0,1.4941,0,32,0.3198,1.250000e-03
1600,1650,0.1105,13443,279.0196,2.2604,-2.2325,0.3544,15.6250,0.4834,0,1.4941,0,32,0.1117,4.385965e-04
1700,1750,0.1962,14088,274.7934,1.4999,-1.4946,0.1253,12.3487,0.4834,0,1.4941,0,32,0.1962,0
1800,1850,0.1266,13369,253.6105,1.1841,-1.1360,-0.3341,9.4668,0.4834,0,1.4941,0,32,0.1266,0
1900,1950,0.1803,13374,251.1890,0.8173,-0.7736,-0.2635,13.4825,0.4834,0,1.4941,0,32,0.1803,0
2000,2050,0.1839,13351,211.3118,0.6051,-0.3145,-0.5169,16.7010,0.4834,0,1.4941,0,32,0.1839,0
2100,2150,0.1261,13434,154.4111,0.7901,0.3412,-0.7126,17.7939,0.4834,0,1.4941,0,32,0.1261,0
2200,2250,0.1540,13415,137.3402,1.2653,0.8574,-0.9305,15.0258,0.4834,0,1.4941,0,32,0.1540,0
2300,2350,0.1364,9929,132.3342,1.3374,0.9886,-0.9007,17.0389,0.4834,0,1.4941,0,32,0.1364,0
2400,2450,0.9498,7802,143.4088,1.5359,0.9155,-1.2332,19.4188,0.4834,0,1.4941,0,32,0.9498,0
2500,2550,0.1833,7851,140.1105,1.7905,1.1483,-1.3738,17.6059,0.4834,0,1.4941,0,32,0.1833,0
2600,2650,0.1737,7777,139.5910,1.9687,1.2762,-1.4990,13.9891,0.4834,0,1.4941,0,32,0.1737,0
2700,2750,0.0965,7808,141.6424,1.6225,1.0069,-1.2723,15.4478,0.4834,0,1.4941,0,32,0.0965,0
2800,2850,0.1748,7842,135.8364,1.7546,1.2224,-1.2587,8.8588,0.4834,0,1.4941,0,32,0.1748,0
2900,2950,0.1525,7089,131.8802,1.7875,1.3309,-1.1933,7.4804,0.4834,0,1.4941,0,32,0.1532,4.166667e-04
