bin_lower,height,linear_eta,nbins,direction,speed,u,v,rmse,elev1,nvolumes_gr35_e1,elev2,nvolumes_gr35_e2,vcp,linear_eta_unfiltered,percent_rain
0,50,120.7142,26279,52.8047,0.2172,0.1730,0.1313,12.4259,0.4834,0,1.4941,0,32,120.7142,0
100,150,59.6364,41601,257.8418,3.5309,-3.4517,-0.7436,12.5671,0.4834,0,1.4941,0,32,59.6364,0
200,250,33.9989,40989,244.1729,5.4744,-4.9276,-2.3850,10.9445,0.4834,0,1.4941,0,32,33.9989,0
300,350,22.7451,38870,247.5294,5.0242,-4.6427,-1.9203,11.2144,0.4834,0,1.4941,0,32,22.7451,0
400,450,16.8945,36674,234.5460,6.5161,-5.3079,-3.7796,11.1818,0.4834,0,1.4941,0,32,16.8945,0
500,550,6.7417,31811,220.3052,8.9894,-5.8148,-6.8554,13.2425,0.4834,0,1.4941,0,32,6.7417,0
600,650,4.9488,22759,208.8471,6.9797,-3.3675,-6.1136,12.1103,0.4834,0,1.4941,0,32,4.9488,0
700,750,9.6952,22499,216.2489,8.9021,-5.2638,-7.1792,11.4399,0.4834,0,1.4941,0,32,10.1433,1.552288e-03
800,850,4.2312,21615,216.0467,8.4895,-4.9956,-6.8641,12.2618,0.4834,0,1.4941,0,32,4.7507,5.765993e-03
900,950,3.6686,21524,223.8088,7.3517,-5.0893,-5.3054,12.3789,0.4834,0,1.4941,0,32,3.9652,6.607744e-03
1000,1050,2.1539,21523,254.8599,6.5990,-6.3700,-1.7235,11.0746,0.4834,0,1.4941,0,32,2.4585,7.617845e-03
1100,1150,2.1618,21528,278.4864,5.8112,-5.7476,0.8576,10.7220,0.4834,0,1.4941,0,32,2.6277,6.313131e-03
1200,1250,0.3939,21599,287.8553,5.9017,-5.6174,1.8095,10.3117,0.4834,0,1.4941,0,32,0.4897,1.936027e-03
1300,1350,0.3548,20763,289.5718,5.8752,-5.5358,1.9681,12.3739,0.4834,0,1.4941,0,32,0.3548,1.171875e-03
1400,1450,0.2235,17477,295.5194,6.0248,-5.4370,2.5956,15.0637,0.4834,0,1.4941,0,32,0.2830,1.709402e-03
1500,1550,1.5096,14006,296.5138,6.1017,-5.4599,2.7239,12.5719,0.4834,0,1.4941,0,32,1.5096,0
1600,1650,0.1266,13443,297.8644,5.5216,-4.8814,2.5807,14.6244,0.4834,0,1.4941,0,32,0.1266,0
1700,1750,0.1267,14123,303.5848,4.8217,-4.0168,2.6672,11.7862,0.4834,0,1.4941,0,32,0.1267,0
1800,1850,0.1185,13353,309.2170,4.4853,-3.4750,2.8359,13.3737,0.4834,0,1.4941,0,32,0.1185,0
1900,1950,0.1537,13420,320.2283,4.3245,-2.7665,3.3238,13.0898,0.4834,0,1.4941,0,32,0.1537,0
2000,2050,0.1732,13373,329.2063,4.4848,-2.2960,3.8525,10.6457,0.4834,0,1.4941,0,32,0.1732,0
2100,2150,0.1421,13389,330.9605,4.5370,-2.2023,3.9666,16.4012,0.4834,0,1.4941,0,32,0.1421,0
2200,2250,0.2130,13373,318.3571,4.3140,-2.8666,3.2238,19.5216,0.4834,0,1.4941,0,32,0.2130,0
2300,2350,0.2197,9935,323.0673,4.2719,-2.5669,3.4147,17.7921,0.4834,0,1.4941,0,32,0.2197,0
2400,2450,0.3741,7841,324.9518,4.3960,-2.5244,3.5988,14.8606,0.4834,0,1.4941,0,32,0.3741,0
2500,2550,0.1233,7841,324.6670,4.5614,-2.6380,3.7212,14.5369,0.4834,0,1.4941,0,32,0.1233,0
2600,2650,0.1668,7795,323.4507,4.6761,-2.7847,3.7565,14.7249,0.4834,0,1.4941,0,32,0.1668,0
2700,2750,0.0779,7817,322.2690,4.7500,-2.9068,3.7567,25.4456,0.4834,0,1.4941,0,32,0.0779,0
2800,2850,0.0692,7835,321.1091,4.8216,-3.0272,3.7529,1.9043,0.4834,0,1.4941,0,32,0.0692,0
2900,2950,0.1441,7127,319.9683,4.8863,-3.1430,3.7414,19.4166,0.4834,0,1.4941,0,32,0.1441,0
