bin_lower,height,linear_eta,nbins,direction,speed,u,v,rmse,elev1,nvolumes_gr35_e1,elev2,nvolumes_gr35_e2,vcp,linear_eta_unfiltered,percent_rain
0,50,132.3338,26364,191.7688,11.1436,-2.2729,-10.9093,13.1943,0.4834,0,1.4941,0,32,132.3338,0
100,150,44.9065,41800,181.9708,5.8592,-0.2015,-5.8558,11.7407,0.4834,0,1.4941,0,32,45.1306,5.575397e-03
200,250,15.7122,41165,187.2010,4.8213,-0.6044,-4.7833,12.4307,0.4834,0,1.4941,0,32,18.2428,1.303571e-02
300,350,24.5127,38901,230.6391,7.4077,-5.7274,-4.6980,12.7493,0.4834,0,1.4941,0,32,25.0444,4.767828e-03
400,450,5.7821,36703,225.5259,6.6042,-4.7125,-4.6268,13.0276,0.4834,0,1.4941,0,32,5.7821,0
500,550,2.2665,31831,258.2525,10.1344,-9.9221,-2.0633,12.0790,0.4834,0,1.4941,0,32,2.5536,2.480159e-04
600,650,1.6151,22821,288.6546,7.3856,-6.9976,2.3624,9.9249,0.4834,0,1.4941,0,32,1.8265,2.287582e-03
700,750,11.0273,22502,304.9033,7.7619,-6.3657,4.4413,11.8815,0.4834,0,1.4941,0,32,11.0273,0
800,850,0.6676,21591,316.5687,9.8726,-6.7872,7.1694,12.2064,0.4834,0,1.4941,0,32,0.6676,0
900,950,0.3906,21560,320.9816,8.8254,-5.5562,6.8568,9.8316,0.4834,0,1.4941,0,32,0.3906,0
1000,1050,1.5501,21516,322.3533,8.1856,-4.9997,6.4813,14.1079,0.4834,0,1.4941,0,32,1.5501,0
1100,1150,1.4137,21556,313.1578,9.6677,-7.0523,6.6128,12.2084,0.4834,0,1.4941,0,32,1.5400,1.052189e-03
1200,1250,0.5119,21519,311.4078,8.8499,-6.6376,5.8535,10.6329,0.4834,0,1.4941,0,32,0.5972,1.893939e-03
1300,1350,0.3145,20748,301.2759,8.8113,-7.5308,4.5745,14.2075,0.4834,0,1.4941,0,32,0.3594,7.812500e-04
1400,1450,0.3918,17451,296.5530,9.6953,-8.6727,4.3341,14.1780,0.4834,0,1.4941,0,32,0.4012,2.029915e-03
1500,1550,0.1967,14063,289.7470,10.0691,-9.4770,3.4020,14.9814,0.4834,0,1.4941,0,32,0.1979,2.916667e-03
1600,1650,0.1184,13401,284.9381,10.1492,-9.8062,2.6162,15.2155,0.4834,0,1.4941,0,32,0.1197,7.309942e-04
1700,1750,0.6856,14058,283.4026,9.6542,-9.3913,2.2378,10.7288,0.4834,0,1.4941,0,32,0.6896,1.805556e-03
1800,1850,0.0948,13446,285.7240,8.8230,-8.4929,2.3911,12.1516,0.4834,0,1.4941,0,32,0.0964,2.923977e-04
1900,1950,0.1136,13362,287.8789,8.3999,-7.9942,2.5788,17.6975,0.4834,0,1.4941,0,32,0.1136,0
2000,2050,0.1381,13383,289.7918,7.8339,-7.3711,2.6526,13.6548,0.4834,0,1.4941,0,32,0.1381,0
2100,2150,0.1542,13417,292.1311,7.7167,-7.1482,2.9071,11.2226,0.4834,0,1.4941,0,32,0.1542,0
2200,2250,0.1217,13432,294.7890,7.8758,-7.1501,3.3022,15.6093,0.4834,0,1.4941,0,32,0.1217,0
2300,2350,0.1065,9950,295.7863,8.1269,-7.3176,3.5353,10.9217,0.4834,0,1.4941,0,32,0.1065,0
2400,2450,0.1226,7875,297.5730,8.2227,-7.2887,3.8061,12.2447,0.4834,0,1.4941,0,32,0.1226,0
2500,2550,0.3327,7847,299.6092,8.3646,-7.2723,4.1328,17.8571,0.4834,0,1.4941,0,32,0.3327,0
2600,2650,0.1396,7796,300.6644,8.6756,-7.4625,4.4246,11.8068,0.4834,0,1.4941,0,32,0.1396,0
2700,2750,0.1079,7841,302.6532,8.7702,-7.3841,4.7320,16.1390,0.4834,0,1.4941,0,32,0.1079,0
2800,2850,0.1211,7830,304.6619,8.8482,-7.2779,5.0323,10.9436,0.4834,0,1.4941,0,32,0.1211,0
2900,2950,0.1744,7078,306.1486,8.8586,-7.1532,5.2255,6.1081,0.4834,0,1.4941,0,32,0.1744,0
