bin_lower,height,linear_eta,nbins,direction,speed,u,v,rmse,elev1,nvolumes_gr35_e1,elev2,nvolumes_gr35_e2,vcp,linear_eta_unfiltered,percent_rain
0,50,15.3528,26429,343.9609,16.7312,-4.6227,16.0799,16.6277,0.4834,0,1.4941,0,32,15.3534,3.787879e-04
100,150,8.4826,41868,2.4012,17.6322,0.7387,17.6168,15.7402,0.4834,0,1.4941,0,32,27.5385,1.523810e-02
200,250,2.9661,41253,16.2410,15.6131,4.3666,14.9900,14.3423,0.4834,0,1.4941,0,32,7.9865,1.055556e-02
300,350,2.3416,38947,23.5126,10.1075,4.0324,9.2683,11.4173,0.4834,0,1.4941,0,32,11.7980,4.724295e-02
400,450,1.8736,36718,28.2047,10.2945,4.8654,9.0722,12.2242,0.4834,0,1.4941,0,32,4.3535,5.790598e-02
500,550,1.8839,31684,15.6079,7.8706,2.1176,7.5803,12.0068,0.4834,0,1.4941,0,32,6.4461,1.000992e-01
600,650,1.4825,22717,4.0166,5.8701,0.4112,5.8557,10.2806,0.4834,0,1.4941,0,32,4.2336,8.578431e-02
700,750,0.4964,22381,358.0572,7.6466,-0.2592,7.6422,12.2929,0.4834,0,1.4941,0,32,0.5030,1.825980e-02
800,850,0.3378,21604,11.0543,10.7049,2.0526,10.5063,17.1393,0.4834,0,1.4941,0,32,0.3384,2.188552e-03
900,950,0.3379,21501,17.8070,11.6411,3.5600,11.0834,18.5364,0.4834,0,1.4941,0,32,0.3379,0
1000,1050,0.3230,21545,15.5421,12.4179,3.3273,11.9638,17.2384,0.4834,0,1.4941,0,32,0.3230,0
1100,1150,0.2369,21464,17.0159,12.7774,3.7391,12.2181,17.8910,0.4834,0,1.4941,0,32,0.2369,0
1200,1250,0.6048,21592,19.2215,12.8840,4.2417,12.1658,16.3800,0.4834,0,1.4941,0,32,0.6048,0
1300,1350,0.2713,20767,20.4674,12.9621,4.5325,12.1438,17.0593,0.4834,0,1.4941,0,32,0.2713,0
1400,1450,0.1771,17512,19.6488,12.6932,4.2681,11.9541,16.6686,0.4834,0,1.4941,0,32,0.1771,2.136752e-04
1500,1550,0.1136,14059,19.7196,12.1248,4.0911,11.4137,19.6938,0.4834,0,1.4941,0,32,0.1136,0
1600,1650,0.1246,13412,20.9265,11.4933,4.1051,10.7352,18.7322,0.4834,0,1.4941,0,32,0.1246,0
1700,1750,0.1868,14140,21.7657,11.6822,4.3319,10.8493,12.8596,0.4834,0,1.4941,0,32,0.1868,0
1800,1850,0.0905,13413,23.5583,11.0661,4.4229,10.1437,19.3139,0.4834,0,1.4941,0,32,0.0905,0
1900,1950,0.1301,13404,23.8450,10.7826,4.3590,9.8622,16.8005,0.4834,0,1.4941,0,32,0.1301,0
2000,2050,0.1849,13389,25.3699,10.1549,4.3510,9.1756,17.1682,0.4834,0,1.4941,0,32,0.1849,0
2100,2150,0.2075,13371,27.4423,9.6661,4.4547,8.5784,18.2798,0.4834,0,1.4941,0,32,0.2075,0
2200,2250,0.1867,13366,29.1527,9.2026,4.4829,8.0369,17.5774,0.4834,0,1.4941,0,32,0.1867,0
2300,2350,0.0958,9942,29.7213,8.6906,4.3086,7.5473,16.7475,0.4834,0,1.4941,0,32,0.0958,0
2400,2450,0.1122,7859,29.4555,8.4664,4.1633,7.3720,19.9743,0.4834,0,1.4941,0,32,0.1122,0
2500,2550,0.0703,7849,30.3516,8.2195,4.1533,7.0929,19.4739,0.4834,0,1.4941,0,32,0.0703,0
2600,2650,0.1501,7796,30.3892,7.9549,4.0241,6.8619,25.0550,0.4834,0,1.4941,0,32,0.1501,0
2700,2750,0.1623,7862,31.6219,7.7913,4.0850,6.6345,16.1308,0.4834,0,1.4941,0,32,0.1623,0
2800,2850,0.1194,7826,32.6940,7.5021,4.0523,6.3136,17.3407,0.4834,0,1.4941,0,32,0.1194,0
2900,2950,0.1182,7071,33.9352,7.1993,4.0191,5.9730,5.3546,0.4834,0,1.4941,0,32,0.1182,0
