bin_lower,height,linear_eta,nbins,direction,speed,u,v,rmse,elev1,nvolumes_gr35_e1,elev2,nvolumes_gr35_e2,vcp,linear_eta_unfiltered,percent_rain
0,50,19.6046,26184,7.6187,6.3290,0.8391,6.2731,13.9920,0.4834,0,1.4941,0,32,19.6046,0
100,150,23.2015,41539,326.1977,5.9140,-3.2901,4.9143,12.4531,0.4834,0,1.4941,0,32,23.2015,0
200,250,10.9911,41108,307.5777,3.5518,-2.8149,2.1660,11.0720,0.4834,0,1.4941,0,32,10.9911,0
300,350,10.5129,38951,312.7777,6.7551,-4.9582,4.5878,11.6151,0.4834,0,1.4941,0,32,10.5129,0
400,450,19.9109,36735,342.2678,4.2215,-1.2857,4.0209,11.3634,0.4834,0,1.4941,0,32,19.9134,1.388889e-03
500,550,9.5932,31845,8.2424,3.9666,0.5687,3.9256,12.9569,0.4834,0,1.4941,0,32,9.6001,9.077381e-03
600,650,2.9101,22801,28.6068,4.2202,2.0206,3.7050,12.5539,0.4834,0,1.4941,0,32,2.9375,8.169935e-03
700,750,4.6244,22506,28.6423,5.5379,2.6545,4.8603,14.4806,0.4834,0,1.4941,0,32,4.8809,3.717320e-03
800,850,0.8832,21611,13.1925,6.0897,1.3898,5.9290,13.7660,0.4834,0,1.4941,0,32,1.0014,9.259259e-04
900,950,0.6903,21589,13.4633,6.8303,1.5903,6.6426,14.8474,0.4834,0,1.4941,0,32,0.7523,1.178451e-03
1000,1050,3.3189,21488,6.2733,7.1236,0.7784,7.0809,15.9092,0.4834,0,1.4941,0,32,3.3189,0
1100,1150,0.7260,21492,9.1531,7.5958,1.2083,7.4991,12.3590,0.4834,0,1.4941,0,32,0.7260,0
1200,1250,0.2022,21611,4.0412,7.2272,0.5093,7.2092,12.1316,0.4834,0,1.4941,0,32,0.2262,6.734007e-04
1300,1350,0.2886,20755,358.3564,7.0491,-0.2022,7.0462,14.5130,0.4834,0,1.4941,0,32,0.2886,1.736111e-03
1400,1450,0.3196,17448,353.1532,7.2259,-0.8614,7.1744,16.6781,0.4834,0,1.4941,0,32,0.3198,1.869658e-03
1500,1550,0.1529,14038,352.2772,7.5127,-1.0096,7.4446,15.5985,0.4834,0,1.4941,0,32,0.1598,1.250000e-03
1600,1650,0.1007,13377,350.8587,7.8021,-1.2395,7.7030,14.2464,0.4834,0,1.4941,0,32,0.1007,0
1700,1750,0.3338,14143,351.7613,8.3060,-1.1902,8.2203,15.7258,0.4834,0,1.4941,0,32,0.3338,0
1800,1850,0.1671,13427,352.6583,8.4092,-1.0746,8.3402,13.9903,0.4834,0,1.4941,0,32,0.1671,0
1900,1950,0.1564,13410,353.5038,8.2936,-0.9383,8.2404,14.6194,0.4834,0,1.4941,0,32,0.1564,0
2000,2050,0.2440,13372,353.6366,8.1897,-0.9077,8.1392,12.4602,0.4834,0,1.4941,0,32,0.2440,0
2100,2150,0.0991,13372,353.5742,8.4094,-0.9411,8.3566,13.8625,0.4834,0,1.4941,0,32,0.0991,0
2200,2250,0.1806,13372,356.1421,8.4772,-0.5704,8.4580,13.8966,0.4834,0,1.4941,0,32,0.1806,0
2300,2350,0.1191,9957,357.1366,8.0955,-0.4044,8.0854,7.7945,0.4834,0,1.4941,0,32,0.1191,0
2400,2450,0.2536,7832,359.0456,8.3958,-0.1399,8.3947,13.5750,0.4834,0,1.4941,0,32,0.2536,0
2500,2550,0.1255,7858,1.1795,8.5303,0.1756,8.5285,13.6481,0.4834,0,1.4941,0,32,0.1255,0
2600,2650,0.2030,7816,1.4578,8.5319,0.2171,8.5291,14.6403,0.4834,0,1.4941,0,32,0.2030,0
2700,2750,0.1334,7846,0.5139,8.4523,0.0758,8.4519,10.4119,0.4834,0,1.4941,0,32,0.1334,0
2800,2850,0.1479,7865,359.1701,8.4237,-0.1220,8.4229,13.0614,0.4834,0,1.4941,0,32,0.1479,0
2900,2950,0.1224,7122,358.9063,8.4749,-0.1618,8.4733,16.1364,0.4834,0,1.4941,0,32,0.1224,0
