bin_lower,height,linear_eta,nbins,direction,speed,u,v,rmse,elev1,nvolumes_gr35_e1,elev2,nvolumes_gr35_e2,vcp,linear_eta_unfiltered,percent_rain
0,50,13.9260,26739,87.6058,2.7711,2.7687,0.1158,2.4907,0.4834,0,1.4502,0,21,172.4152,7.175309e-01
100,150,8.8734,45154,63.5498,2.9939,2.6805,1.3335,2.1664,0.4834,0,1.4502,0,21,301.3582,8.972983e-01
200,250,4.4034,41290,47.5465,2.8413,2.0964,1.9179,1.5767,0.4834,0,1.4502,0,21,431.5500,9.170437e-01
300,350,3.9150,38026,44.3419,2.7528,1.9241,1.9688,1.8482,0.4834,0,1.4502,0,21,634.5812,9.141136e-01
400,450,3.0149,32396,48.1362,2.6329,1.9608,1.7571,1.6988,0.4834,0,1.4502,0,21,747.5164,9.034411e-01
500,550,1.4109,25946,52.3154,2.5010,1.9792,1.5289,1.5824,0.4834,0,1.4502,0,21,758.7333,9.059848e-01
600,650,1.5609,17120,76.1404,1.9294,1.8732,0.4622,1.2504,0.4834,0,1.4502,0,21,330.7577,8.575794e-01
700,750,0.7041,16778,64.9793,1.9692,1.7844,0.8329,1.2687,0.4834,0,1.4502,0,21,366.0531,8.555159e-01
800,850,0.8034,15916,50.5308,1.9885,1.5351,1.2640,1.2521,0.4834,0,1.4502,0,21,441.2728,8.756349e-01
900,950,1.2617,15309,34.2249,2.1392,1.2032,1.7687,1.2424,0.4834,0,1.4502,0,21,555.7132,8.800794e-01
1000,1050,0.6084,14742,23.4746,2.1711,0.8648,1.9914,1.2082,0.4834,0,1.4502,0,21,598.3607,8.870370e-01
1100,1150,0.5266,15575,11.2324,2.1947,0.4275,2.1526,1.2400,0.4834,0,1.4502,0,21,674.5881,9.115196e-01
1200,1250,0.5727,15271,0.2956,2.2686,0.0117,2.2685,1.4037,0.4834,0,1.4502,0,21,737.1215,9.201389e-01
1300,1350,0.2291,17414,350.1086,2.3142,-0.3975,2.2798,1.5093,0.4834,0,1.4502,0,21,725.8271,9.102381e-01
1400,1450,0.3786,11598,346.9750,2.5053,-0.5646,2.4408,1.4634,0.4834,0,1.4502,0,21,627.6928,9.099116e-01
1500,1550,0.1655,10948,336.3396,2.4336,-0.9766,2.2290,1.1623,0.4834,0,1.4502,0,21,593.8214,9.236111e-01
1600,1650,0.1011,10893,325.6523,2.3487,-1.3251,1.9391,1.3212,0.4834,0,1.4502,0,21,693.6487,9.297917e-01
1700,1750,0.0902,11067,318.7415,2.3117,-1.5245,1.7378,1.6229,0.4834,0,1.4502,0,21,927.0203,9.285417e-01
1800,1850,0.0749,11000,311.3503,2.3554,-1.7681,1.5561,1.9681,0.4834,0,1.4502,0,21,1024.1545,9.277778e-01
1900,1950,0.0473,11015,307.6754,2.3350,-1.8481,1.4271,2.3064,0.4834,0,1.4502,0,21,1598.7729,9.382639e-01
2000,2050,0.0677,11394,308.3550,2.5359,-1.9886,1.5736,2.5083,0.4834,0,1.4502,0,21,2392.2721,9.418651e-01
2100,2150,0.0780,10326,307.2752,2.5292,-2.0126,1.5318,2.6649,0.4834,0,1.4502,0,21,3760.0554,9.445175e-01
2200,2250,0.0782,8613,309.7193,2.6756,-2.0580,1.7098,2.7372,0.4834,0,1.4502,0,21,4135.8429,9.526910e-01
2300,2350,0.0775,6454,313.3278,2.9140,-2.1197,1.9995,2.7834,0.4834,0,1.4502,0,21,4770.7430,9.467593e-01
2400,2450,0.1085,5660,311.9417,3.0173,-2.2443,2.0167,2.6830,0.4834,0,1.4502,0,21,4481.6723,9.476010e-01
2500,2550,0.2560,5704,310.4602,2.9875,-2.2730,1.9386,2.5872,0.4834,0,1.4502,0,21,3940.4357,9.407828e-01
2600,2650,0.1393,5832,310.5598,3.0315,-2.3032,1.9712,2.4617,0.4834,0,1.4502,0,21,3299.2961,9.404040e-01
2700,2750,0.7665,6471,307.4822,2.9425,-2.3350,1.7906,2.2858,0.4834,0,1.4502,0,21,2183.0277,9.260417e-01
2800,2850,0.1343,5973,309.7243,2.9301,-2.2536,1.8726,2.1699,0.4834,0,1.4502,0,21,1380.7516,9.107323e-01
2900,2950,0.1605,6081,312.7128,2.9962,-2.2015,2.0324,2.0922,0.4834,0,1.4502,0,21,976.8259,8.955808e-01
