bin_lower,height,linear_eta,nbins,direction,speed,u,v,rmse,elev1,nvolumes_gr35_e1,elev2,nvolumes_gr35_e2,vcp,linear_eta_unfiltered,percent_rain
0,50,6.5219,27154,159.1723,1.7992,0.6397,-1.6816,4.6488,0.4834,0,1.4941,0,32,18.8669,4.206755e-01
100,150,2.3172,45543,80.3398,2.5161,2.4804,0.4222,3.0790,0.4834,0,1.4941,0,32,18.1778,5.754762e-01
200,250,0.4169,44090,75.1624,3.1555,3.0503,0.8081,2.0289,0.4834,0,1.4941,0,32,62.8044,7.637698e-01
300,350,0.8711,39828,67.0438,2.9633,2.7286,1.1558,2.6792,0.4834,0,1.4941,0,32,122.1329,7.411070e-01
400,450,0.9242,40158,61.5110,3.0457,2.6769,1.4527,2.9199,0.4834,0,1.4941,0,32,240.2303,6.266880e-01
500,550,1.6028,30549,61.7115,3.0417,2.6784,1.4415,2.8618,0.4834,0,1.4941,0,32,241.5845,6.088046e-01
600,650,0.4511,18374,84.1429,1.8241,1.8145,0.1861,1.9373,0.4834,0,1.4941,0,32,94.0608,6.337418e-01
700,750,0.4158,18560,88.0084,1.7974,1.7964,0.0625,2.0154,0.4834,0,1.4941,0,32,85.5596,6.319853e-01
800,850,0.4735,17328,82.8224,1.7271,1.7135,0.2158,2.0038,0.4834,0,1.4941,0,32,77.0324,6.340909e-01
900,950,0.2259,15529,63.1738,1.4789,1.3198,0.6674,2.4243,0.4834,0,1.4941,0,32,90.1514,6.479798e-01
1000,1050,0.3707,15119,15.2366,1.3186,0.3465,1.2722,2.8322,0.4834,0,1.4941,0,32,141.3726,6.353956e-01
1100,1150,0.2674,14982,332.2558,1.4742,-0.6863,1.3047,2.3538,0.4834,0,1.4941,0,32,259.0211,6.646465e-01
1200,1250,0.2250,14750,309.2589,1.4438,-1.1179,0.9137,2.1133,0.4834,0,1.4941,0,32,258.5776,7.402357e-01
1300,1350,0.2938,15543,297.9894,1.5396,-1.3595,0.7225,1.9797,0.4834,0,1.4941,0,32,287.5148,7.376302e-01
1400,1450,0.3699,12563,282.1027,1.4992,-1.4659,0.3143,1.8161,0.4834,0,1.4941,0,32,301.4144,7.887286e-01
1500,1550,0.1515,9318,266.8138,1.7639,-1.7611,-0.0980,1.6208,0.4834,0,1.4941,0,32,179.1769,8.745139e-01
1600,1650,0.0974,8919,255.2705,2.0515,-1.9841,-0.5216,1.4533,0.4834,0,1.4941,0,32,188.1240,8.848684e-01
1700,1750,0.0901,9709,246.4764,2.2875,-2.0974,-0.9130,1.4981,0.4834,0,1.4941,0,32,258.0060,8.828472e-01
1800,1850,0.0603,9427,235.3863,2.3334,-1.9204,-1.3254,1.5642,0.4834,0,1.4941,0,32,497.8531,8.842836e-01
1900,1950,0.0703,10014,224.4156,2.4034,-1.6821,-1.7167,1.6257,0.4834,0,1.4941,0,32,928.7106,8.487573e-01
2000,2050,0.0696,10155,219.0527,2.3415,-1.4752,-1.8184,1.8037,0.4834,0,1.4941,0,32,1440.4360,8.750731e-01
2100,2150,0.0785,10340,215.0848,2.1944,-1.2613,-1.7956,1.8953,0.4834,0,1.4941,0,32,1975.6784,8.767544e-01
2200,2250,0.0721,10633,216.2471,2.1315,-1.2603,-1.7190,1.9788,0.4834,0,1.4941,0,32,2303.3746,8.675439e-01
2300,2350,0.1526,8011,215.0699,1.9278,-1.1076,-1.5778,2.0481,0.4834,0,1.4941,0,32,2357.0616,8.814484e-01
2400,2450,0.0835,6276,212.0321,1.6989,-0.9011,-1.4403,1.9396,0.4834,0,1.4941,0,32,2438.7397,9.016414e-01
2500,2550,0.0965,6030,215.8195,1.6699,-0.9773,-1.3541,1.9703,0.4834,0,1.4941,0,32,2296.8544,8.809343e-01
2600,2650,0.0591,5611,209.9936,1.8078,-0.9037,-1.5657,1.9367,0.4834,0,1.4941,0,32,1443.3309,8.688131e-01
2700,2750,0.0824,5366,204.3174,2.0043,-0.8254,-1.8265,1.8537,0.4834,0,1.4941,0,32,583.3728,8.242424e-01
2800,2850,0.1517,5208,193.6187,2.1737,-0.5118,-2.1126,1.8059,0.4834,0,1.4941,0,32,341.4860,7.791667e-01
2900,2950,0.1437,5090,182.5539,2.1216,-0.0945,-2.1195,1.6261,0.4834,0,1.4941,0,32,260.5451,7.320833e-01
