bin_lower,height,linear_eta,nbins,direction,speed,u,v,rmse,elev1,nvolumes_gr35_e1,elev2,nvolumes_gr35_e2,vcp,linear_eta_unfiltered,percent_rain
0,50,6.4622,27780,332.5714,4.5262,-2.0850,4.0174,2.0858,0.4834,0,1.4502,0,21,231.4359,8.601852e-01
100,150,3.4426,48807,328.0624,5.2930,-2.8000,4.4918,1.8863,0.4834,0,1.4502,0,21,235.3246,8.941400e-01
200,250,1.0141,46807,332.4584,5.5971,-2.5880,4.9628,1.9547,0.4834,0,1.4502,0,21,316.4613,8.705556e-01
300,350,1.2315,44350,332.3571,5.5179,-2.5601,4.8881,2.1940,0.4834,0,1.4502,0,21,301.4226,8.882966e-01
400,450,1.7733,45186,332.0219,5.1665,-2.4238,4.5627,2.0165,0.4834,0,1.4502,0,21,517.5410,8.305970e-01
500,550,1.1847,36144,331.9027,4.9588,-2.3354,4.3744,1.8570,0.4834,0,1.4502,0,21,757.5910,8.373737e-01
600,650,0.4270,23105,332.2934,4.9270,-2.2908,4.3620,1.3855,0.4834,0,1.4502,0,21,280.9729,9.330159e-01
700,750,1.0323,21785,329.7969,4.2322,-2.1291,3.6576,1.4605,0.4834,0,1.4502,0,21,263.1150,9.161905e-01
800,850,0.4317,19958,328.6381,3.3081,-1.7217,2.8248,1.4882,0.4834,0,1.4502,0,21,277.4398,9.392063e-01
900,950,0.2686,18593,343.9934,2.4404,-0.6729,2.3457,1.5509,0.4834,0,1.4502,0,21,336.6785,9.453968e-01
1000,1050,0.7538,17610,10.1019,1.9228,0.3373,1.8930,1.4413,0.4834,0,1.4502,0,21,447.4018,9.282828e-01
1100,1150,0.2085,19842,25.2109,1.9652,0.8371,1.7780,1.1915,0.4834,0,1.4502,0,21,557.1257,8.972631e-01
1200,1250,0.2970,19728,22.8657,2.0861,0.8106,1.9222,1.1269,0.4834,0,1.4502,0,21,785.7925,8.499566e-01
1300,1350,0.5287,20944,12.7134,2.2660,0.4987,2.2105,1.2123,0.4834,0,1.4502,0,21,942.9197,8.685317e-01
1400,1450,0.1737,12162,0.2117,2.4740,0.0091,2.4740,1.0109,0.4834,0,1.4502,0,21,622.3263,9.397727e-01
1500,1550,0.2238,10883,345.4545,2.8061,-0.7047,2.7161,0.9425,0.4834,0,1.4502,0,21,480.7227,9.579861e-01
1600,1650,0.1438,12007,337.7743,3.1994,-1.2102,2.9617,0.9919,0.4834,0,1.4502,0,21,544.9309,9.495139e-01
1700,1750,0.1378,12862,331.3768,3.5967,-1.7230,3.1571,1.0458,0.4834,0,1.4502,0,21,680.0499,9.055556e-01
1800,1850,0.1259,13147,326.3328,3.9605,-2.1956,3.2962,0.9029,0.4834,0,1.4502,0,21,824.3156,9.045139e-01
1900,1950,0.1189,13074,320.8485,3.9598,-2.5001,3.0708,0.9084,0.4834,0,1.4502,0,21,978.1788,8.900000e-01
2000,2050,0.0973,13548,313.4398,3.8811,-2.8181,2.6686,0.9696,0.4834,0,1.4502,0,21,1218.5004,9.121032e-01
2100,2150,0.1999,12053,302.0238,3.5532,-3.0125,1.8841,1.0625,0.4834,0,1.4502,0,21,1842.0585,9.119883e-01
2200,2250,0.2146,10292,291.7488,3.4236,-3.1799,1.2686,1.0732,0.4834,0,1.4502,0,21,2413.4767,9.238715e-01
2300,2350,0.0655,7977,283.3232,3.4015,-3.3100,0.7839,1.0836,0.4834,0,1.4502,0,21,2294.8447,9.802083e-01
2400,2450,0.1011,7317,276.7400,3.3347,-3.3116,0.3914,1.0288,0.4834,0,1.4502,0,21,3165.0963,9.718434e-01
2500,2550,0.2655,7146,270.8359,3.3033,-3.3029,0.0482,1.0358,0.4834,0,1.4502,0,21,3612.8824,9.717172e-01
2600,2650,0.0962,6912,262.1069,3.2333,-3.2027,-0.4440,0.9822,0.4834,0,1.4502,0,21,3070.8147,9.621212e-01
2700,2750,0.0304,7347,251.4568,3.1519,-2.9883,-1.0024,1.0008,0.4834,0,1.4502,0,21,2588.4482,9.618056e-01
2800,2850,0.0524,6570,241.4739,3.0780,-2.7043,-1.4699,0.9464,0.4834,0,1.4502,0,21,1743.7857,9.614899e-01
2900,2950,0.1336,6445,230.8279,3.0631,-2.3747,-1.9348,0.9675,0.4834,0,1.4502,0,21,1249.1076,9.563131e-01
