bin_lower,height,linear_eta,nbins,direction,speed,u,v,rmse,elev1,nvolumes_gr35_e1,elev2,nvolumes_gr35_e2,vcp,linear_eta_unfiltered,percent_rain
0,50,143.3717,24854,348.1922,3.1972,-0.6542,3.1295,3.5514,0.4834,0,1.4941,0,32,143.3717,0
100,150,85.8054,43295,343.8349,3.6406,-1.0136,3.4967,3.5379,0.4834,0,1.4941,0,32,85.8054,0
200,250,41.0661,43502,347.1083,3.9756,-0.8870,3.8753,3.0412,0.4834,0,1.4941,0,32,41.0661,0
300,350,26.0589,40690,356.1150,3.8947,-0.2639,3.8857,2.8636,0.4834,0,1.4941,0,32,26.0589,0
400,450,19.7507,41040,358.5102,3.7508,-0.0975,3.7495,2.5232,0.4834,0,1.4941,0,32,19.7507,0
500,550,11.5167,35456,4.4279,3.3591,0.2593,3.3491,2.1409,0.4834,0,1.4941,0,32,11.5167,0
600,650,9.0858,21411,15.5714,3.2027,0.8597,3.0852,1.1753,0.4834,0,1.4941,0,32,9.0858,0
700,750,7.8419,21014,17.1730,3.2240,0.9519,3.0802,1.0945,0.4834,0,1.4941,0,32,7.8419,0
800,850,5.2290,21060,14.5245,3.2869,0.8243,3.1818,1.3556,0.4834,0,1.4941,0,32,5.2777,9.175084e-03
900,950,2.5598,21243,18.2385,3.0047,0.9404,2.8537,1.3102,0.4834,0,1.4941,0,32,2.6434,1.628788e-02
1000,1050,0.9015,21620,30.6433,2.2978,1.1712,1.9769,1.7956,0.4834,0,1.4941,0,32,0.9184,6.060606e-03
1100,1150,0.4330,22741,84.5073,1.2832,1.2773,0.1228,3.5074,0.4834,0,1.4941,0,32,0.4330,0
1200,1250,0.3233,23154,160.9730,1.8312,0.5970,-1.7311,5.7833,0.4834,0,1.4941,0,32,0.3233,0
1300,1350,0.6232,22658,136.2107,1.7110,1.1840,-1.2352,5.3535,0.4834,0,1.4941,0,32,0.6232,0
1400,1450,0.1331,18410,127.1182,1.7742,1.4147,-1.0706,5.5724,0.4834,0,1.4941,0,32,0.1331,0
1500,1550,0.7840,14131,151.6766,2.1874,1.0378,-1.9256,8.1731,0.4834,0,1.4941,0,32,0.7845,2.083333e-04
1600,1650,0.1284,13408,156.2776,2.1473,0.8639,-1.9659,13.4961,0.4834,0,1.4941,0,32,0.1284,0
1700,1750,0.0956,14174,164.4919,1.8105,0.4841,-1.7446,10.8609,0.4834,0,1.4941,0,32,0.0956,0
1800,1850,0.1201,13520,168.8225,1.5189,0.2944,-1.4901,10.3362,0.4834,0,1.4941,0,32,0.1201,0
1900,1950,0.1113,13422,185.1023,1.4644,-0.1302,-1.4586,5.9615,0.4834,0,1.4941,0,32,0.1113,1.461988e-04
2000,2050,0.1323,13354,201.6240,1.2030,-0.4433,-1.1183,8.1673,0.4834,0,1.4941,0,32,0.1323,7.309942e-05
2100,2150,0.0811,13552,213.1698,1.2235,-0.6694,-1.0241,9.1092,0.4834,0,1.4941,0,32,0.0811,0
2200,2250,0.1004,13578,232.7810,1.1869,-0.9452,-0.7179,14.2245,0.4834,0,1.4941,0,32,0.1050,5.847953e-04
2300,2350,0.0884,9987,258.4098,1.0942,-1.0718,-0.2198,2.4015,0.4834,0,1.4941,0,32,0.0904,4.960317e-04
2400,2450,0.0953,7826,270.9339,1.2070,-1.2069,0.0197,2.9663,0.4834,0,1.4941,0,32,0.0953,0
2500,2550,0.0967,7841,269.3911,1.4128,-1.4127,-0.0150,13.6677,0.4834,0,1.4941,0,32,0.0967,0
2600,2650,0.0336,7907,268.0724,1.6195,-1.6186,-0.0545,12.2689,0.4834,0,1.4941,0,32,0.0336,0
2700,2750,0.0345,7901,269.1291,1.8003,-1.8001,-0.0274,3.7011,0.4834,0,1.4941,0,32,0.0345,0
2800,2850,0.0964,7853,269.9453,1.9796,-1.9796,-0.0019,12.3411,0.4834,0,1.4941,0,32,0.0964,0
2900,2950,0.1023,7155,274.0082,2.1111,-2.1059,0.1476,3.8538,0.4834,0,1.4941,0,32,0.1023,0
