bin_lower,height,linear_eta,nbins,direction,speed,u,v,rmse,elev1,nvolumes_gr35_e1,elev2,nvolumes_gr35_e2,vcp,linear_eta_unfiltered,percent_rain
0,50,115.1023,26753,18.0927,4.5475,1.4123,4.3227,1.9138,0.4834,0,1.4502,0,21,5835.9303,9.267284e-01
100,150,42.4738,45461,5.6645,4.6599,0.4599,4.6371,1.1110,0.4834,0,1.4502,0,21,6993.4806,9.819444e-01
200,250,2.1449,43202,357.1319,4.8828,-0.2443,4.8767,1.0207,0.4834,0,1.4502,0,21,6893.4620,9.968452e-01
300,350,1.9399,41719,354.1248,5.0167,-0.5135,4.9903,1.0544,0.4834,0,1.4502,0,21,7397.2819,9.982230e-01
400,450,5.2763,42303,353.6746,4.8971,-0.5395,4.8673,1.1620,0.4834,0,1.4502,0,21,7369.2584,9.969942e-01
500,550,2.3421,34289,355.1070,4.4989,-0.3837,4.4825,1.0557,0.4834,0,1.4502,0,21,7524.1433,9.995960e-01
600,650,0.4331,21516,353.8714,3.5355,-0.3775,3.5153,0.8858,0.4834,0,1.4502,0,21,7051.6113,9.989683e-01
700,750,0.0000,20542,2.7634,2.5362,0.1223,2.5332,0.9002,0.4834,0,1.4502,0,21,6980.2832,1
800,850,0.0000,20183,24.8087,2.1466,0.9007,1.9485,1.0441,0.4834,0,1.4502,0,21,7420.1607,1
900,950,0.0000,21118,37.9195,2.1881,1.3447,1.7261,1.2194,0.4834,0,1.4502,0,21,7571.8348,1
1000,1050,0.0000,19447,36.7610,2.3237,1.3907,1.8616,1.2471,0.4834,0,1.4502,0,21,7136.3517,1
1100,1150,0.0000,19066,25.5779,2.4279,1.0482,2.1900,1.1514,0.4834,0,1.4502,0,21,7071.3192,1
1200,1250,0.0014,17167,13.5941,2.6707,0.6277,2.5959,1.1060,0.4834,0,1.4502,0,21,7250.8455,9.999132e-01
1300,1350,0.0000,19436,2.3038,2.8846,0.1160,2.8823,1.1428,0.4834,0,1.4502,0,21,6929.1744,9.998016e-01
1400,1450,0.0000,12696,350.9223,3.1938,-0.5039,3.1538,1.3175,0.4834,0,1.4502,0,21,6857.1847,1
1500,1550,0.0000,11439,345.1111,3.4136,-0.8771,3.2990,1.4535,0.4834,0,1.4502,0,21,7212.3742,9.996528e-01
1600,1650,0.0000,11248,340.8814,3.4631,-1.1343,3.2721,1.5371,0.4834,0,1.4502,0,21,7036.6827,1
1700,1750,0.0000,11160,333.8109,3.6377,-1.6054,3.2642,1.5716,0.4834,0,1.4502,0,21,7545.5624,1
1800,1850,0.0000,11424,322.1782,3.7693,-2.3114,2.9775,1.5632,0.4834,0,1.4502,0,21,8429.9933,1
1900,1950,0.0000,11956,313.2024,3.9892,-2.9079,2.7309,1.4779,0.4834,0,1.4502,0,21,12159.5103,1
2000,2050,0.0000,12793,309.1257,4.1603,-3.2274,2.6253,1.4442,0.4834,0,1.4502,0,21,15901.1017,1
2100,2150,0.0000,12012,304.7149,4.2147,-3.4645,2.4002,1.4421,0.4834,0,1.4502,0,21,19923.1783,1
2200,2250,0.0000,10097,302.6667,4.3118,-3.6297,2.3273,1.4331,0.4834,0,1.4502,0,21,22184.3791,1
2300,2350,0.0000,7718,300.7585,4.3596,-3.7464,2.2296,1.3573,0.4834,0,1.4502,0,21,24969.1777,1
2400,2450,0.0000,7198,300.1316,4.4674,-3.8637,2.2426,1.3891,0.4834,0,1.4502,0,21,24375.4996,1
2500,2550,0.0000,7272,298.5502,4.5381,-3.9863,2.1689,1.4411,0.4834,0,1.4502,0,21,21156.4109,1
2600,2650,0.0000,7307,295.1102,4.5757,-4.1433,1.9417,1.5004,0.4834,0,1.4502,0,21,17170.6874,1
2700,2750,0.0000,7930,289.9445,4.7584,-4.4730,1.6231,1.6289,0.4834,0,1.4502,0,21,12339.4332,1
2800,2850,0.0000,7187,284.4983,4.9912,-4.8322,1.2495,1.7324,0.4834,0,1.4502,0,21,7682.3813,1
2900,2950,0.0000,7025,280.5822,5.3015,-5.2113,0.9736,1.9310,0.4834,0,1.4502,0,21,4991.9161,1
