bin_lower,height,linear_eta,nbins,direction,speed,u,v,rmse,elev1,nvolumes_gr35_e1,elev2,nvolumes_gr35_e2,vcp,linear_eta_unfiltered,percent_rain
0,50,77.5835,25546,341.1342,3.9860,-1.2889,3.7719,3.2826,0.4834,0,1.4941,0,32,77.5835,0
100,150,81.6463,43734,338.7524,4.1281,-1.4960,3.8474,3.3298,0.4834,0,1.4941,0,32,81.6463,0
200,250,38.0354,43976,341.7185,4.4953,-1.4101,4.2684,2.7474,0.4834,0,1.4941,0,32,38.0354,0
300,350,25.9030,41213,350.7515,4.4902,-0.7217,4.4319,2.6226,0.4834,0,1.4941,0,32,25.9030,0
400,450,15.8730,41506,354.4311,4.3825,-0.4253,4.3618,2.3167,0.4834,0,1.4941,0,32,15.8730,0
500,550,13.1811,35729,357.8114,4.2153,-0.1610,4.2122,2.0961,0.4834,0,1.4941,0,32,13.1811,0
600,650,10.4542,22168,3.9709,3.8731,0.2682,3.8638,1.5360,0.4834,0,1.4941,0,32,10.5443,1.262255e-02
700,750,9.6007,21901,5.5346,3.4467,0.3324,3.4307,1.5826,0.4834,0,1.4941,0,32,9.8094,2.062908e-02
800,850,6.6685,21086,12.7354,3.0397,0.6701,2.9649,1.6111,0.4834,0,1.4941,0,32,6.8305,1.759259e-02
900,950,3.3093,19873,21.6016,2.6845,0.9883,2.4960,1.5609,0.4834,0,1.4941,0,32,3.3449,8.122896e-03
1000,1050,1.2961,20788,28.6144,2.1005,1.0059,1.8439,1.8480,0.4834,0,1.4941,0,32,1.4143,9.806397e-03
1100,1150,0.6875,22217,46.5058,2.3893,1.7333,1.6445,3.4292,0.4834,0,1.4941,0,32,0.7714,8.712121e-03
1200,1250,0.3864,22842,106.1761,1.4670,1.4089,-0.4087,2.3876,0.4834,0,1.4941,0,32,0.3882,1.178451e-03
1300,1350,0.2076,22575,93.8481,2.2709,2.2658,-0.1524,4.3087,0.4834,0,1.4941,0,32,0.2076,0
1400,1450,0.2263,18360,120.7998,2.1587,1.8543,-1.1053,2.9969,0.4834,0,1.4941,0,32,0.2263,0
1500,1550,0.1492,14182,125.6092,2.0304,1.6507,-1.1822,8.0368,0.4834,0,1.4941,0,32,0.1492,0
1600,1650,0.1254,13413,134.1492,1.8212,1.3068,-1.2685,8.4505,0.4834,0,1.4941,0,32,0.1254,0
1700,1750,0.0999,14197,129.0355,1.9722,1.5319,-1.2421,7.4569,0.4834,0,1.4941,0,32,0.0999,0
1800,1850,0.0873,13553,121.2016,1.9392,1.6587,-1.0046,3.2628,0.4834,0,1.4941,0,32,0.0873,0
1900,1950,0.1473,13397,131.7260,2.0534,1.5325,-1.3667,11.7407,0.4834,0,1.4941,0,32,0.1473,0
2000,2050,0.1394,13434,138.2823,2.4151,1.6072,-1.8027,11.0428,0.4834,0,1.4941,0,32,0.1394,0
2100,2150,0.1062,13502,144.0745,2.2707,1.3323,-1.8387,12.3649,0.4834,0,1.4941,0,32,0.1062,0
2200,2250,0.1026,13542,151.0071,2.0659,1.0013,-1.8070,9.1789,0.4834,0,1.4941,0,32,0.1026,0
2300,2350,0.1191,9935,156.3882,1.8528,0.7421,-1.6977,10.4820,0.4834,0,1.4941,0,32,0.1191,0
2400,2450,0.0945,7815,161.7578,1.6134,0.5050,-1.5323,3.5666,0.4834,0,1.4941,0,32,0.0945,0
2500,2550,0.1047,7819,166.1858,1.6009,0.3823,-1.5546,19.0888,0.4834,0,1.4941,0,32,0.1047,0
2600,2650,0.0497,7898,170.6339,1.7604,0.2865,-1.7369,0.5239,0.4834,0,1.4941,0,32,0.0497,0
2700,2750,0.0362,7892,174.3048,1.9307,0.1916,-1.9211,9.6156,0.4834,0,1.4941,0,32,0.0362,0
2800,2850,0.0543,7832,176.9650,2.1360,0.1131,-2.1330,3.4529,0.4834,0,1.4941,0,32,0.0543,5.050505e-04
2900,2950,0.1183,7167,179.1800,2.3409,0.0335,-2.3407,13.0722,0.4834,0,1.4941,0,32,0.1183,2.777778e-04
