bin_lower,height,linear_eta,nbins,direction,speed,u,v,rmse,elev1,nvolumes_gr35_e1,elev2,nvolumes_gr35_e2,vcp,linear_eta_unfiltered,percent_rain
0,50,128.8411,26669,24.6984,4.3635,1.8232,3.9643,1.5197,0.4834,0,1.4502,0,21,6838.8072,9.257099e-01
100,150,44.5476,45534,7.7769,4.4304,0.5995,4.3897,1.1058,0.4834,0,1.4502,0,21,7219.9679,9.818113e-01
200,250,3.9154,43085,0.8542,4.6887,0.0699,4.6882,0.9629,0.4834,0,1.4502,0,21,7297.7944,9.941865e-01
300,350,2.1007,41721,357.5782,4.8737,-0.2059,4.8693,1.1013,0.4834,0,1.4502,0,21,7436.6575,9.967525e-01
400,450,0.0162,42224,356.8931,4.7512,-0.2575,4.7442,1.1023,0.4834,0,1.4502,0,21,7635.4831,9.986733e-01
500,550,0.0000,34193,358.5767,4.3095,-0.1070,4.3081,1.0359,0.4834,0,1.4502,0,21,7130.4917,9.987879e-01
600,650,0.0000,21215,358.6751,3.2535,-0.0752,3.2527,0.8595,0.4834,0,1.4502,0,21,7621.3889,9.998016e-01
700,750,0.0000,20727,12.9218,2.3640,0.5286,2.3041,0.9219,0.4834,0,1.4502,0,21,7465.3507,1
800,850,0.0000,20604,34.1229,2.1207,1.1896,1.7556,1.0793,0.4834,0,1.4502,0,21,7254.1931,1
900,950,0.0000,20776,42.9488,2.2113,1.5067,1.6186,1.2121,0.4834,0,1.4502,0,21,7461.9621,1
1000,1050,0.0000,19087,38.9601,2.3305,1.4654,1.8122,1.2091,0.4834,0,1.4502,0,21,7656.7531,1
1100,1150,0.0000,18165,26.8232,2.4591,1.1096,2.1945,1.1195,0.4834,0,1.4502,0,21,7643.5289,1
1200,1250,0.0000,16807,14.3452,2.6823,0.6646,2.5987,1.1170,0.4834,0,1.4502,0,21,7272.9181,1
1300,1350,0.0000,18639,3.5568,2.9060,0.1803,2.9004,1.1743,0.4834,0,1.4502,0,21,7114.1840,1
1400,1450,0.0000,12115,351.8109,3.1119,-0.4433,3.0801,1.3386,0.4834,0,1.4502,0,21,7131.4314,1
1500,1550,0.0000,11024,344.7785,3.2907,-0.8640,3.1752,1.5005,0.4834,0,1.4502,0,21,7816.4376,1
1600,1650,0.0000,11076,339.0356,3.3411,-1.1954,3.1200,1.6216,0.4834,0,1.4502,0,21,8212.0854,1
1700,1750,0.0000,11197,330.7255,3.5335,-1.7279,3.0822,1.6357,0.4834,0,1.4502,0,21,8369.3347,1
1800,1850,0.0000,11291,318.9225,3.7469,-2.4620,2.8245,1.5797,0.4834,0,1.4502,0,21,9177.4998,1
1900,1950,0.0000,11826,311.5936,3.9971,-2.9894,2.6535,1.5128,0.4834,0,1.4502,0,21,11867.5150,1
2000,2050,0.0000,13031,307.5045,4.2063,-3.3368,2.5609,1.4598,0.4834,0,1.4502,0,21,15697.4569,1
2100,2150,0.0000,12232,304.2587,4.2285,-3.4949,2.3803,1.4840,0.4834,0,1.4502,0,21,19873.4556,1
2200,2250,0.0000,10395,302.5373,4.3306,-3.6509,2.3292,1.4982,0.4834,0,1.4502,0,21,23398.7868,1
2300,2350,0.0000,7852,301.6123,4.4188,-3.7631,2.3162,1.4673,0.4834,0,1.4502,0,21,26461.7952,1
2400,2450,0.0000,7157,300.2925,4.5810,-3.9556,2.3107,1.5716,0.4834,0,1.4502,0,21,26155.2488,1
2500,2550,0.0000,7220,298.6882,4.6986,-4.1218,2.2555,1.5977,0.4834,0,1.4502,0,21,21765.1735,1
2600,2650,0.0000,7370,295.5885,4.7471,-4.2815,2.0503,1.6427,0.4834,0,1.4502,0,21,17466.8693,1
2700,2750,0.0000,7999,290.7970,4.8605,-4.5438,1.7258,1.7270,0.4834,0,1.4502,0,21,12450.7872,1
2800,2850,0.0000,7225,286.6770,5.0403,-4.8283,1.4464,1.8037,0.4834,0,1.4502,0,21,7944.3108,1
2900,2950,0.0000,7091,283.6337,5.3398,-5.1893,1.2587,1.9524,0.4834,0,1.4502,0,21,5222.6594,1
