bin_lower,height,linear_eta,nbins,direction,speed,u,v,rmse,elev1,nvolumes_gr35_e1,elev2,nvolumes_gr35_e2,vcp,linear_eta_unfiltered,percent_rain
0,50,261.6855,25758,347.8351,2.2622,-0.4767,2.2114,6.0832,0.4834,0,1.4941,0,32,266.7080,3.686869e-02
100,150,119.4596,44605,357.6736,2.2053,-0.0895,2.2035,6.0305,0.4834,0,1.4941,0,32,126.7840,1.655357e-01
200,250,35.7015,45459,348.9969,2.3303,-0.4448,2.2875,5.3956,0.4834,0,1.4941,0,32,38.6224,2.031746e-01
300,350,14.6781,42424,5.8475,2.3724,0.2417,2.3600,4.6313,0.4834,0,1.4941,0,32,15.2044,1.882670e-01
400,450,6.1660,42600,38.6434,2.6259,1.6398,2.0509,3.6855,0.4834,0,1.4941,0,32,7.0547,1.988462e-01
500,550,3.0485,37223,60.7009,2.8729,2.5054,1.4059,3.3881,0.4834,0,1.4941,0,32,4.2028,2.566716e-01
600,650,0.4913,23342,66.8837,2.7142,2.4963,1.0656,2.0994,0.4834,0,1.4941,0,32,0.8602,2.547386e-01
700,750,0.3224,23494,71.2654,2.4757,2.3446,0.7952,2.8994,0.4834,0,1.4941,0,32,0.5348,1.072712e-01
800,850,0.2103,23051,70.8791,1.8043,1.7047,0.5910,5.4449,0.4834,0,1.4941,0,32,0.2227,3.463805e-02
900,950,0.1756,23431,103.0314,0.9917,0.9662,-0.2236,8.5733,0.4834,0,1.4941,0,32,0.1858,1.818182e-02
1000,1050,0.2743,23286,91.2494,1.5425,1.5422,-0.0336,8.0105,0.4834,0,1.4941,0,32,0.2817,1.574074e-02
1100,1150,0.3302,23461,115.1692,0.9305,0.8422,-0.3957,9.1955,0.4834,0,1.4941,0,32,0.3345,7.112795e-03
1200,1250,0.1076,23508,157.0271,1.1178,0.4363,-1.0291,9.0831,0.4834,0,1.4941,0,32,0.1086,2.525253e-03
1300,1350,0.1782,22739,149.1055,1.1798,0.6058,-1.0124,8.9901,0.4834,0,1.4941,0,32,0.1810,4.470486e-03
1400,1450,0.1678,18433,140.1243,0.9485,0.6081,-0.7279,10.4874,0.4834,0,1.4941,0,32,0.1707,4.861111e-03
1500,1550,0.1381,14159,148.0816,1.1148,0.5894,-0.9463,8.0784,0.4834,0,1.4941,0,32,0.1418,4.513889e-03
1600,1650,0.1815,13450,174.9940,1.5955,0.1392,-1.5894,5.6770,0.4834,0,1.4941,0,32,0.1842,3.362573e-03
1700,1750,0.0775,14194,188.4533,1.7268,-0.2538,-1.7080,9.3005,0.4834,0,1.4941,0,32,0.0806,5.000000e-03
1800,1850,0.0814,13519,193.9013,1.8059,-0.4339,-1.7530,6.3302,0.4834,0,1.4941,0,32,0.0830,2.412281e-03
1900,1950,0.0928,13455,200.6733,1.2831,-0.4530,-1.2005,7.7238,0.4834,0,1.4941,0,32,0.1002,5.994152e-03
2000,2050,0.1003,13429,214.4185,0.8808,-0.4979,-0.7266,12.9069,0.4834,0,1.4941,0,32,0.1044,2.412281e-03
2100,2150,0.1550,13581,237.2892,0.6406,-0.5390,-0.3462,10.6443,0.4834,0,1.4941,0,32,0.1556,4.385965e-04
2200,2250,0.1029,13516,258.9496,0.4747,-0.4659,-0.0910,2.5131,0.4834,0,1.4941,0,32,0.1087,2.923977e-03
2300,2350,0.0833,9983,225.3997,0.4014,-0.2858,-0.2819,2.4710,0.4834,0,1.4941,0,32,0.0964,4.067460e-03
2400,2450,0.0586,7846,230.3492,0.7436,-0.5725,-0.4745,1.9829,0.4834,0,1.4941,0,32,0.0606,1.641414e-03
2500,2550,0.0774,7811,228.7736,1.1827,-0.8895,-0.7794,12.9654,0.4834,0,1.4941,0,32,0.0808,1.893939e-03
2600,2650,0.0217,7910,233.9781,1.4937,-1.2081,-0.8784,,0.4834,0,1.4941,0,32,0.0217,0
2700,2750,0.0435,7881,237.3324,1.8132,-1.5264,-0.9787,0.3540,0.4834,0,1.4941,0,32,0.0435,2.525253e-04
2800,2850,0.1326,7823,241.0006,0.9322,-0.8153,-0.4519,5.0102,0.4834,0,1.4941,0,32,0.1385,2.777778e-03
2900,2950,0.0698,7140,262.0340,0.5211,-0.5161,-0.0722,2.9589,0.4834,0,1.4941,0,32,0.0792,1.805556e-03
