bin_lower,height,linear_eta,nbins,direction,speed,u,v,rmse,elev1,nvolumes_gr35_e1,elev2,nvolumes_gr35_e2,vcp,linear_eta_unfiltered,percent_rain
0,50,58.9145,27966,324.3745,5.1758,-3.0148,4.2071,5.2826,0.4834,0,1.4502,0,21,122.0617,4.303395e-01
100,150,39.7830,48848,325.6401,6.4010,-3.6127,5.2841,4.6732,0.4834,0,1.4502,0,21,79.3735,5.587329e-01
200,250,5.9065,47068,322.5074,6.6482,-4.0465,5.2749,3.4181,0.4834,0,1.4502,0,21,51.5772,6.126984e-01
300,350,5.7249,44844,321.0210,6.7519,-4.2472,5.2488,2.7789,0.4834,0,1.4502,0,21,86.1350,6.065564e-01
400,450,1.9827,45693,320.7386,6.6566,-4.2127,5.1540,2.2325,0.4834,0,1.4502,0,21,236.9199,6.543325e-01
500,550,1.3297,37538,318.6255,5.9014,-3.9007,4.4285,2.2515,0.4834,0,1.4502,0,21,556.7936,6.143687e-01
600,650,0.3186,24768,318.2365,5.2484,-3.4957,3.9148,1.8374,0.4834,0,1.4502,0,21,13.4065,4.373413e-01
700,750,0.2968,24616,324.0810,4.0868,-2.3975,3.3097,1.4707,0.4834,0,1.4502,0,21,52.9511,3.200000e-01
800,850,0.2005,24415,336.6274,3.1822,-1.2624,2.9211,1.4658,0.4834,0,1.4502,0,21,96.9057,3.305159e-01
900,950,0.2711,23701,0.4874,2.7345,0.0233,2.7344,1.9077,0.4834,0,1.4502,0,21,80.4974,3.892460e-01
1000,1050,0.3894,22020,16.4238,2.5377,0.7175,2.4341,1.4707,0.4834,0,1.4502,0,21,104.8786,4.454545e-01
1100,1150,0.2798,21983,33.7581,2.4437,1.3579,2.0317,1.4927,0.4834,0,1.4502,0,21,129.8210,4.576797e-01
1200,1250,0.2634,20357,33.8315,2.4006,1.3365,1.9941,1.1145,0.4834,0,1.4502,0,21,196.5934,4.819010e-01
1300,1350,0.2373,22587,31.5191,2.5871,1.3525,2.2055,1.1282,0.4834,0,1.4502,0,21,301.1329,5.153175e-01
1400,1450,0.3545,15183,28.8269,2.8363,1.3676,2.4848,0.9869,0.4834,0,1.4502,0,21,199.4823,5.287247e-01
1500,1550,0.2693,13937,25.2081,2.8937,1.2325,2.6181,0.9338,0.4834,0,1.4502,0,21,136.9190,5.634722e-01
1600,1650,0.2719,13606,14.3509,2.8844,0.7149,2.7944,0.9632,0.4834,0,1.4502,0,21,217.9959,6.232639e-01
1700,1750,0.2386,13208,0.7414,3.0064,0.0389,3.0062,0.9669,0.4834,0,1.4502,0,21,336.7128,6.643750e-01
1800,1850,0.5718,12678,347.6947,3.2284,-0.6880,3.1542,0.9216,0.4834,0,1.4502,0,21,394.1411,6.691667e-01
1900,1950,0.5605,12545,336.9642,3.3250,-1.3011,3.0599,0.9566,0.4834,0,1.4502,0,21,500.1077,6.612500e-01
2000,2050,0.2976,13376,332.3845,3.3731,-1.5635,2.9888,0.9482,0.4834,0,1.4502,0,21,877.8586,6.869048e-01
2100,2150,0.5271,12161,328.0613,3.3453,-1.7697,2.8388,1.0369,0.4834,0,1.4502,0,21,1612.4553,7.375000e-01
2200,2250,0.7320,10122,325.7118,3.3752,-1.9015,2.7887,1.0918,0.4834,0,1.4502,0,21,1700.1668,7.732639e-01
2300,2350,0.3350,7260,326.7818,3.3240,-1.8210,2.7808,1.1100,0.4834,0,1.4502,0,21,1421.9182,8.285880e-01
2400,2450,0.4227,6588,324.7857,3.2966,-1.9009,2.6933,1.0831,0.4834,0,1.4502,0,21,1484.5045,8.327020e-01
2500,2550,0.4762,6605,322.4216,3.0985,-1.8896,2.4556,1.1466,0.4834,0,1.4502,0,21,1367.8756,8.372475e-01
2600,2650,0.5248,6600,311.3305,2.6782,-2.0111,1.7687,1.2232,0.4834,0,1.4502,0,21,1230.1764,8.483586e-01
2700,2750,0.3552,6689,299.8874,2.2339,-1.9368,1.1132,1.3765,0.4834,0,1.4502,0,21,1331.7543,8.407407e-01
2800,2850,0.2327,5611,279.5867,1.6548,-1.6317,0.2756,1.5549,0.4834,0,1.4502,0,21,1475.3900,8.430556e-01
2900,2950,0.2392,5173,247.6784,1.0701,-0.9899,-0.4064,1.6159,0.4834,0,1.4502,0,21,1564.0569,8.502525e-01
