bin_lower,height,linear_eta,nbins,direction,speed,u,v,rmse,elev1,nvolumes_gr35_e1,elev2,nvolumes_gr35_e2,vcp,linear_eta_unfiltered,percent_rain
0,50,8.1122,28111,337.6097,5.6266,-2.1432,5.2024,2.0633,0.4834,0,1.4502,0,21,250.3594,8.568210e-01
100,150,3.1025,48565,334.9472,5.7582,-2.4383,5.2164,1.5954,0.4834,0,1.4502,0,21,338.1277,9.173516e-01
200,250,1.8501,45966,336.1359,5.6760,-2.2963,5.1908,1.6061,0.4834,0,1.4502,0,21,486.6206,9.326190e-01
300,350,1.8503,43471,335.0510,5.6949,-2.4022,5.1635,1.6911,0.4834,0,1.4502,0,21,769.1920,9.505310e-01
400,450,1.3659,43819,333.0070,5.5316,-2.5107,4.9290,1.6642,0.4834,0,1.4502,0,21,1201.8707,9.621891e-01
500,550,1.0390,35569,331.5804,5.3242,-2.5339,4.6825,1.6054,0.4834,0,1.4502,0,21,1436.8948,9.642424e-01
600,650,1.0234,23156,327.2879,5.0785,-2.7445,4.2731,1.0783,0.4834,0,1.4502,0,21,564.1256,9.724603e-01
700,750,0.2812,21597,324.3788,4.3258,-2.5195,3.5164,1.1369,0.4834,0,1.4502,0,21,730.2394,9.856746e-01
800,850,0.0493,20190,323.0561,3.2835,-1.9735,2.6243,1.2577,0.4834,0,1.4502,0,21,989.1813,9.926984e-01
900,950,0.3764,19094,339.9016,2.3417,-0.8047,2.1991,1.3657,0.4834,0,1.4502,0,21,1172.3526,9.858333e-01
1000,1050,0.0450,18805,7.3588,1.9710,0.2524,1.9547,1.3210,0.4834,0,1.4502,0,21,1413.0959,9.808923e-01
1100,1150,0.0430,20475,18.3891,2.0764,0.6550,1.9704,1.2833,0.4834,0,1.4502,0,21,1576.5810,9.721405e-01
1200,1250,0.0823,19085,17.7125,2.2951,0.6983,2.1863,1.2116,0.4834,0,1.4502,0,21,1878.9092,9.722222e-01
1300,1350,0.2038,21073,9.7633,2.4811,0.4207,2.4452,1.1344,0.4834,0,1.4502,0,21,2187.1991,9.667063e-01
1400,1450,0.1542,13322,0.0342,2.7144,0.0016,2.7144,0.9865,0.4834,0,1.4502,0,21,1705.7002,9.793561e-01
1500,1550,0.1124,11660,346.5635,3.1050,-0.7215,3.0200,0.8737,0.4834,0,1.4502,0,21,1452.0779,9.896528e-01
1600,1650,0.0261,12138,339.6239,3.4975,-1.2177,3.2786,0.8842,0.4834,0,1.4502,0,21,1676.5823,9.922917e-01
1700,1750,0.0407,12836,334.4491,3.9113,-1.6870,3.5288,0.8255,0.4834,0,1.4502,0,21,1872.4481,9.820833e-01
1800,1850,0.0125,13207,330.6311,4.2122,-2.0658,3.6708,0.8433,0.4834,0,1.4502,0,21,2036.4822,9.863194e-01
1900,1950,0.0178,13119,325.5509,4.1359,-2.3396,3.4106,0.9555,0.4834,0,1.4502,0,21,2602.6910,9.851389e-01
2000,2050,0.0843,13758,318.0957,4.0177,-2.6834,2.9902,1.0519,0.4834,0,1.4502,0,21,3649.0441,9.847222e-01
2100,2150,0.0436,12284,307.4323,3.7199,-2.9539,2.2610,1.0890,0.4834,0,1.4502,0,21,5172.2991,9.850146e-01
2200,2250,0.0497,10461,297.8004,3.6257,-3.2072,1.6910,1.0311,0.4834,0,1.4502,0,21,6917.2053,9.822049e-01
2300,2350,0.0040,7865,291.3944,3.6778,-3.4244,1.3416,0.9157,0.4834,0,1.4502,0,21,7748.2119,9.991898e-01
2400,2450,0.0132,7229,285.2047,3.6060,-3.4798,0.9457,0.8911,0.4834,0,1.4502,0,21,7975.0773,9.926768e-01
2500,2550,0.0265,7237,279.6971,3.5902,-3.5389,0.6047,0.9113,0.4834,0,1.4502,0,21,6710.3764,9.892677e-01
2600,2650,0.0076,7258,272.2734,3.6374,-3.6346,0.1443,0.9600,0.4834,0,1.4502,0,21,5538.6058,9.917929e-01
2700,2750,0.0148,7828,265.1071,3.6438,-3.6305,-0.3108,1.0089,0.4834,0,1.4502,0,21,4097.5739,9.952546e-01
2800,2850,0.0101,6824,257.2079,3.7231,-3.6307,-0.8244,0.9843,0.4834,0,1.4502,0,21,2850.6825,9.991162e-01
2900,2950,0.0000,6443,249.6212,3.7314,-3.4978,-1.2994,1.0112,0.4834,0,1.4502,0,21,2055.7157,1
