bin_lower,height,linear_eta,nbins,direction,speed,u,v,rmse,elev1,nvolumes_gr35_e1,elev2,nvolumes_gr35_e2,vcp,linear_eta_unfiltered,percent_rain
0,50,118.0149,25886,333.7037,4.2125,-1.8662,3.7766,3.4423,0.4834,0,1.4941,0,32,118.0149,0
100,150,74.1591,44113,338.0361,4.3138,-1.6134,4.0007,3.1175,0.4834,0,1.4941,0,32,74.1591,0
200,250,33.6169,43943,342.0994,4.5152,-1.3878,4.2966,2.6224,0.4834,0,1.4941,0,32,33.6169,0
300,350,23.4969,41359,348.9473,4.6052,-0.8829,4.5198,2.7748,0.4834,0,1.4941,0,32,23.4969,0
400,450,18.2504,41749,352.7710,4.5547,-0.5731,4.5185,2.3385,0.4834,0,1.4941,0,32,18.2504,0
500,550,24.9294,35759,359.0538,4.3705,-0.0722,4.3699,2.1004,0.4834,0,1.4941,0,32,24.9294,0
600,650,10.2696,21981,3.9576,3.8973,0.2690,3.8880,1.4548,0.4834,0,1.4941,0,32,10.2696,0
700,750,9.6695,21710,8.5811,3.3343,0.4975,3.2970,1.3923,0.4834,0,1.4941,0,32,9.6695,0
800,850,6.8010,20755,13.8830,3.0150,0.7234,2.9270,1.3851,0.4834,0,1.4941,0,32,6.8010,0
900,950,2.9610,19785,18.8539,2.5719,0.8311,2.4339,1.4159,0.4834,0,1.4941,0,32,2.9610,0
1000,1050,1.6172,20926,44.1136,2.0107,1.3996,1.4436,1.7779,0.4834,0,1.4941,0,32,1.6172,0
1100,1150,1.0152,22508,69.6048,2.0215,1.8948,0.7045,2.3133,0.4834,0,1.4941,0,32,1.0152,0
1200,1250,0.4743,23073,109.4760,1.9187,1.8089,-0.6397,2.1865,0.4834,0,1.4941,0,32,0.4743,0
1300,1350,0.2281,22669,142.7750,2.1121,1.2777,-1.6818,3.6222,0.4834,0,1.4941,0,32,0.2290,1.302083e-04
1400,1450,0.1844,18399,151.8471,2.4278,1.1455,-2.1405,4.5854,0.4834,0,1.4941,0,32,0.1844,0
1500,1550,0.1376,14168,159.6927,2.3651,0.8208,-2.2181,6.3507,0.4834,0,1.4941,0,32,0.1376,0
1600,1650,0.1772,13415,154.6698,3.1873,1.3636,-2.8809,6.1641,0.4834,0,1.4941,0,32,0.1772,0
1700,1750,0.1086,14154,153.2988,3.2135,1.4440,-2.8708,9.3638,0.4834,0,1.4941,0,32,0.1086,0
1800,1850,0.0914,13468,147.4876,3.5064,1.8846,-2.9569,5.9754,0.4834,0,1.4941,0,32,0.0914,0
1900,1950,0.1525,13394,133.8726,3.7640,2.7134,-2.6086,5.8967,0.4834,0,1.4941,0,32,0.1525,0
2000,2050,0.1730,13403,127.8200,3.8805,3.0654,-2.3794,8.4282,0.4834,0,1.4941,0,32,0.1737,2.192982e-04
2100,2150,0.1176,13526,126.6489,3.6980,2.9670,-2.2074,7.4139,0.4834,0,1.4941,0,32,0.1176,0
2200,2250,0.1174,13518,118.4336,3.4920,3.0707,-1.6627,6.3888,0.4834,0,1.4941,0,32,0.1174,0
2300,2350,0.0897,9950,116.8078,3.4596,3.0878,-1.5603,7.9022,0.4834,0,1.4941,0,32,0.0897,0
2400,2450,0.0746,7820,113.5492,3.5625,3.2659,-1.4234,13.2598,0.4834,0,1.4941,0,32,0.0746,0
2500,2550,0.0841,7851,110.7006,3.6464,3.4110,-1.2889,13.0929,0.4834,0,1.4941,0,32,0.0841,0
2600,2650,0.0244,7890,108.9970,3.8368,3.6278,-1.2490,7.7237,0.4834,0,1.4941,0,32,0.0244,0
2700,2750,0.0438,7898,107.6241,4.0530,3.8628,-1.2271,10.1051,0.4834,0,1.4941,0,32,0.0438,0
2800,2850,0.1068,7851,106.3820,4.2662,4.0930,-1.2032,9.4341,0.4834,0,1.4941,0,32,0.1068,0
2900,2950,0.1433,7139,102.7403,4.4879,4.3774,-0.9897,3.6469,0.4834,0,1.4941,0,32,0.1433,0
