bin_lower,height,linear_eta,nbins,direction,speed,u,v,rmse,elev1,nvolumes_gr35_e1,elev2,nvolumes_gr35_e2,vcp,linear_eta_unfiltered,percent_rain
0,50,8.1690,27187,92.2169,2.5655,2.5635,-0.0992,3.0463,0.4834,0,1.4502,0,21,97.2953,6.559568e-01
100,150,5.0832,45421,64.2128,2.8947,2.6065,1.2593,1.9776,0.4834,0,1.4502,0,21,202.8433,8.733828e-01
200,250,2.8182,41425,47.6907,2.7732,2.0509,1.8668,1.8219,0.4834,0,1.4502,0,21,298.8822,8.880556e-01
300,350,3.6495,37917,45.3895,2.7630,1.9670,1.9404,2.0356,0.4834,0,1.4502,0,21,503.4614,8.880923e-01
400,450,2.1649,32710,49.1317,2.6231,1.9836,1.7164,1.8179,0.4834,0,1.4502,0,21,629.7734,8.894486e-01
500,550,2.1717,25831,53.4740,2.4831,1.9954,1.4779,1.5729,0.4834,0,1.4502,0,21,657.5246,8.773485e-01
600,650,1.0479,17471,76.6024,1.9328,1.8802,0.4478,1.2810,0.4834,0,1.4502,0,21,220.1536,8.021825e-01
700,750,1.0185,16825,63.3039,1.9600,1.7510,0.8805,1.4172,0.4834,0,1.4502,0,21,274.5938,8.178175e-01
800,850,0.9186,16149,48.1791,2.0337,1.5156,1.3561,1.3263,0.4834,0,1.4502,0,21,351.3115,8.312302e-01
900,950,1.2505,16046,32.5338,2.1537,1.1583,1.8158,1.2925,0.4834,0,1.4502,0,21,487.2231,8.490079e-01
1000,1050,0.6863,15024,21.1000,2.1519,0.7747,2.0077,1.3120,0.4834,0,1.4502,0,21,533.8352,8.598906e-01
1100,1150,0.3067,16004,9.2603,2.2100,0.3556,2.1812,1.3001,0.4834,0,1.4502,0,21,582.3683,8.806781e-01
1200,1250,0.2004,15346,357.9614,2.2664,-0.0806,2.2650,1.4063,0.4834,0,1.4502,0,21,665.6932,8.944444e-01
1300,1350,0.2427,17416,348.1372,2.2465,-0.4618,2.1985,1.5035,0.4834,0,1.4502,0,21,682.8401,8.869048e-01
1400,1450,0.2543,11657,342.6762,2.3907,-0.7119,2.2822,1.2225,0.4834,0,1.4502,0,21,582.2542,8.762626e-01
1500,1550,0.1320,10854,330.9205,2.3034,-1.1195,2.0131,1.1880,0.4834,0,1.4502,0,21,579.4849,9.084722e-01
1600,1650,0.0945,10615,321.3975,2.1865,-1.3642,1.7087,1.4388,0.4834,0,1.4502,0,21,690.9396,9.136806e-01
1700,1750,0.0952,10541,314.4097,2.1824,-1.5590,1.5272,1.6834,0.4834,0,1.4502,0,21,924.9349,9.151389e-01
1800,1850,0.0952,10488,307.7128,2.2589,-1.7870,1.3818,1.9952,0.4834,0,1.4502,0,21,966.6915,9.177778e-01
1900,1950,0.1690,10643,303.1760,2.2267,-1.8637,1.2185,2.3173,0.4834,0,1.4502,0,21,1474.5153,9.225000e-01
2000,2050,0.5559,11304,302.9926,2.3432,-1.9653,1.2759,2.5110,0.4834,0,1.4502,0,21,2331.8543,9.287698e-01
2100,2150,0.0916,10338,301.5555,2.3076,-1.9664,1.2076,2.6438,0.4834,0,1.4502,0,21,3506.0649,9.342836e-01
2200,2250,0.1451,8702,303.9188,2.4092,-1.9992,1.3444,2.7027,0.4834,0,1.4502,0,21,4615.6100,9.375868e-01
2300,2350,0.0716,6365,309.2561,2.7757,-2.1493,1.7564,2.6974,0.4834,0,1.4502,0,21,4919.7812,9.398148e-01
2400,2450,0.1323,5735,309.0342,2.7849,-2.1632,1.7539,2.6534,0.4834,0,1.4502,0,21,4619.2307,9.426768e-01
2500,2550,0.0907,5684,308.4714,2.8006,-2.1926,1.7423,2.4998,0.4834,0,1.4502,0,21,4116.7981,9.279040e-01
2600,2650,0.0875,5727,307.8571,2.9045,-2.2932,1.7825,2.3335,0.4834,0,1.4502,0,21,3256.3855,9.141414e-01
2700,2750,0.1196,6320,305.0695,2.8618,-2.3422,1.6443,2.2214,0.4834,0,1.4502,0,21,2058.6185,9.077546e-01
2800,2850,0.1442,5916,306.9807,2.9088,-2.3237,1.7498,2.0696,0.4834,0,1.4502,0,21,1254.2633,9.008838e-01
2900,2950,0.1550,6046,311.6204,2.8876,-2.1587,1.9180,2.1066,0.4834,0,1.4502,0,21,886.5231,8.867424e-01
