bin_lower,height,linear_eta,nbins,direction,speed,u,v,rmse,elev1,nvolumes_gr35_e1,elev2,nvolumes_gr35_e2,vcp,linear_eta_unfiltered,percent_rain
0,50,103.3353,25086,344.9859,3.4099,-0.8833,3.2934,3.5714,0.4834,0,1.4941,0,32,103.3353,0
100,150,98.3530,43434,341.2343,3.7508,-1.2066,3.5514,3.6963,0.4834,0,1.4941,0,32,98.3530,0
200,250,59.8619,43851,349.2229,3.9861,-0.7454,3.9158,3.0305,0.4834,0,1.4941,0,32,59.8619,0
300,350,29.1045,40624,355.8449,3.8165,-0.2765,3.8065,2.9139,0.4834,0,1.4941,0,32,29.1045,0
400,450,20.6990,40958,359.9359,3.7011,-0.0041,3.7010,2.5569,0.4834,0,1.4941,0,32,20.6990,0
500,550,17.2030,35481,7.0220,3.4433,0.4210,3.4175,2.1776,0.4834,0,1.4941,0,32,17.2030,0
600,650,10.8896,21664,17.3944,3.3180,0.9919,3.1663,1.5699,0.4834,0,1.4941,0,32,10.8896,0
700,750,7.4133,21030,17.7930,3.1938,0.9760,3.0410,1.2253,0.4834,0,1.4941,0,32,7.4133,0
800,850,4.2068,21153,16.3258,3.1869,0.8958,3.0584,1.2358,0.4834,0,1.4941,0,32,4.2431,7.323232e-03
900,950,1.9068,21330,17.9809,3.0532,0.9425,2.9041,1.4183,0.4834,0,1.4941,0,32,1.9560,1.654040e-02
1000,1050,0.8116,21495,27.3983,1.9783,0.9104,1.7564,2.0120,0.4834,0,1.4941,0,32,0.8201,6.018519e-03
1100,1150,0.4097,22720,103.6303,1.1206,1.0890,-0.2641,2.8996,0.4834,0,1.4941,0,32,0.4097,0
1200,1250,0.2250,23181,174.8328,1.5716,0.1415,-1.5653,2.9574,0.4834,0,1.4941,0,32,0.2250,0
1300,1350,0.1676,22698,170.8269,2.0816,0.3318,-2.0550,3.6067,0.4834,0,1.4941,0,32,0.1676,0
1400,1450,0.2206,18413,179.7429,1.9756,0.0089,-1.9756,5.8834,0.4834,0,1.4941,0,32,0.2206,0
1500,1550,0.1374,14167,181.5308,2.0179,-0.0539,-2.0172,12.1410,0.4834,0,1.4941,0,32,0.1388,4.861111e-04
1600,1650,0.1357,13372,194.2180,2.1725,-0.5336,-2.1059,10.2463,0.4834,0,1.4941,0,32,0.1363,1.096491e-03
1700,1750,0.0754,14166,199.8186,2.1177,-0.7180,-1.9923,10.5062,0.4834,0,1.4941,0,32,0.0768,1.736111e-03
1800,1850,0.0750,13504,204.0958,1.9205,-0.7841,-1.7531,8.4245,0.4834,0,1.4941,0,32,0.0780,3.216374e-03
1900,1950,0.1345,13466,207.4363,1.7151,-0.7903,-1.5222,11.4551,0.4834,0,1.4941,0,32,0.1414,1.608187e-03
2000,2050,0.1419,13428,206.7840,1.7149,-0.7728,-1.5309,10.7147,0.4834,0,1.4941,0,32,0.1430,8.040936e-04
2100,2150,0.0748,13528,210.5834,1.6021,-0.8151,-1.3792,12.2742,0.4834,0,1.4941,0,32,0.0799,2.631579e-03
2200,2250,0.0837,13561,214.0289,1.5217,-0.8516,-1.2611,5.7889,0.4834,0,1.4941,0,32,0.0874,1.608187e-03
2300,2350,0.1132,9932,212.2939,1.7536,-0.9369,-1.4823,11.4843,0.4834,0,1.4941,0,32,0.1134,2.976190e-04
2400,2450,0.1123,7826,215.0919,1.7138,-0.9852,-1.4023,11.5746,0.4834,0,1.4941,0,32,0.1123,1.262626e-04
2500,2550,0.0689,7813,216.6851,1.5968,-0.9540,-1.2806,9.5772,0.4834,0,1.4941,0,32,0.0689,0
2600,2650,0.0280,7892,217.4785,1.5176,-0.9234,-1.2044,,0.4834,0,1.4941,0,32,0.0280,0
2700,2750,0.0420,7910,218.3599,1.4374,-0.8921,-1.1271,,0.4834,0,1.4941,0,32,0.0420,0
2800,2850,0.0652,7831,219.3449,1.3580,-0.8610,-1.0502,6.0893,0.4834,0,1.4941,0,32,0.0652,0
2900,2950,0.0822,7141,220.4345,1.2773,-0.8284,-0.9722,11.2660,0.4834,0,1.4941,0,32,0.0837,2.777778e-04
