bin_lower,height,linear_eta,nbins,direction,speed,u,v,rmse,elev1,nvolumes_gr35_e1,elev2,nvolumes_gr35_e2,vcp,linear_eta_unfiltered,percent_rain
0,50,194.6952,25728,347.1647,3.8886,-0.8638,3.7914,3.8601,0.4834,0,1.4941,0,32,194.6952,0
100,150,74.3314,43835,348.9080,4.2994,-0.8272,4.2191,3.6268,0.4834,0,1.4941,0,32,74.3314,0
200,250,34.3078,44114,349.5576,4.6127,-0.8360,4.5363,2.8539,0.4834,0,1.4941,0,32,34.3078,0
300,350,29.8013,41510,353.7910,4.4942,-0.4861,4.4678,2.6463,0.4834,0,1.4941,0,32,29.8013,0
400,450,15.7290,41805,358.8075,4.4767,-0.0932,4.4757,2.1844,0.4834,0,1.4941,0,32,15.7290,0
500,550,11.4188,35949,3.8254,4.4263,0.2953,4.4165,1.9085,0.4834,0,1.4941,0,32,11.4188,0
600,650,9.4879,21878,7.6339,3.9601,0.5261,3.9250,1.4422,0.4834,0,1.4941,0,32,9.4879,0
700,750,8.6591,21470,12.7115,3.2237,0.7093,3.1447,1.3179,0.4834,0,1.4941,0,32,8.6591,0
800,850,6.5810,20407,22.7855,2.8130,1.0894,2.5934,1.1765,0.4834,0,1.4941,0,32,6.5810,0
900,950,8.3426,20111,38.5929,2.5241,1.5745,1.9728,1.3533,0.4834,0,1.4941,0,32,8.3426,0
1000,1050,1.8042,21211,56.1766,2.3401,1.9441,1.3026,1.7555,0.4834,0,1.4941,0,32,1.8042,0
1100,1150,0.9688,22508,86.3832,2.2068,2.2024,0.1392,1.7961,0.4834,0,1.4941,0,32,0.9688,0
1200,1250,0.3854,23110,111.8994,2.5644,2.3794,-0.9565,2.6334,0.4834,0,1.4941,0,32,0.3854,0
1300,1350,0.2964,22675,128.2403,3.0083,2.3628,-1.8620,3.7633,0.4834,0,1.4941,0,32,0.2964,0
1400,1450,0.2058,18447,153.4095,2.3186,1.0378,-2.0733,4.0474,0.4834,0,1.4941,0,32,0.2058,0
1500,1550,0.1270,14160,153.8116,2.9065,1.2827,-2.6081,6.7675,0.4834,0,1.4941,0,32,0.1270,0
1600,1650,0.1900,13483,170.5506,3.2830,0.5390,-3.2384,3.9675,0.4834,0,1.4941,0,32,0.1900,0
1700,1750,0.1409,14184,164.4607,3.2450,0.8693,-3.1264,3.5860,0.4834,0,1.4941,0,32,0.1409,0
1800,1850,0.1129,13507,155.3366,3.4046,1.4207,-3.0940,2.9378,0.4834,0,1.4941,0,32,0.1129,0
1900,1950,0.1553,13427,159.4385,3.3090,1.1621,-3.0982,3.6646,0.4834,0,1.4941,0,32,0.1553,0
2000,2050,0.1627,13378,162.0916,3.1874,0.9801,-3.0330,3.5580,0.4834,0,1.4941,0,32,0.1627,0
2100,2150,0.1117,13543,158.1639,2.6197,0.9744,-2.4318,2.2619,0.4834,0,1.4941,0,32,0.1117,0
2200,2250,0.0987,13516,159.8737,2.7506,0.9465,-2.5826,7.5678,0.4834,0,1.4941,0,32,0.0987,0
2300,2350,0.1159,9934,155.9360,3.0140,1.2290,-2.7521,7.0810,0.4834,0,1.4941,0,32,0.1159,0
2400,2450,0.1727,7826,151.8521,2.7740,1.3086,-2.4459,6.0761,0.4834,0,1.4941,0,32,0.1727,0
2500,2550,0.1143,7862,154.0000,2.8295,1.2404,-2.5431,2.7630,0.4834,0,1.4941,0,32,0.1143,0
2600,2650,0.0221,7904,156.1913,2.8982,1.1700,-2.6516,1.1394,0.4834,0,1.4941,0,32,0.0221,0
2700,2750,0.0882,7900,158.2776,2.9717,1.0999,-2.7607,13.8827,0.4834,0,1.4941,0,32,0.0882,0
2800,2850,0.0930,7852,160.2603,3.0497,1.0300,-2.8705,2.8625,0.4834,0,1.4941,0,32,0.0930,0
2900,2950,0.0915,7128,162.1534,3.1276,0.9585,-2.9771,6.2118,0.4834,0,1.4941,0,32,0.0915,0
