bin_lower,height,linear_eta,nbins,direction,speed,u,v,rmse,elev1,nvolumes_gr35_e1,elev2,nvolumes_gr35_e2,vcp,linear_eta_unfiltered,percent_rain
0,50,13.7068,28013,332.9465,4.8512,-2.2064,4.3204,2.2359,0.4834,0,1.4502,0,21,139.6324,8.539815e-01
100,150,3.3743,48636,332.2591,5.4156,-2.5208,4.7932,1.9020,0.4834,0,1.4502,0,21,204.9811,8.962329e-01
200,250,2.0656,46205,333.8629,5.5563,-2.4477,4.9881,1.7189,0.4834,0,1.4502,0,21,299.1746,9.254563e-01
300,350,1.5010,43582,334.1376,5.5889,-2.4379,5.0291,1.7609,0.4834,0,1.4502,0,21,504.5599,9.345997e-01
400,450,2.2588,44343,332.7805,5.4222,-2.4801,4.8217,2.0514,0.4834,0,1.4502,0,21,913.6091,9.365672e-01
500,550,0.7273,35777,332.1827,5.1458,-2.4013,4.5511,1.6899,0.4834,0,1.4502,0,21,1078.4344,9.476515e-01
600,650,0.9378,23134,327.7091,4.9205,-2.6286,4.1595,1.2068,0.4834,0,1.4502,0,21,389.0144,9.625794e-01
700,750,0.4529,21536,324.6729,4.2541,-2.4599,3.4708,1.2354,0.4834,0,1.4502,0,21,482.8450,9.716270e-01
800,850,0.6629,19739,322.8278,3.2969,-1.9920,2.6271,1.3086,0.4834,0,1.4502,0,21,607.6245,9.786508e-01
900,950,0.2240,18779,337.8091,2.3330,-0.8812,2.1602,1.3091,0.4834,0,1.4502,0,21,835.4820,9.746825e-01
1000,1050,0.0878,18280,6.4537,1.9101,0.2147,1.8980,1.3284,0.4834,0,1.4502,0,21,1006.4769,9.708333e-01
1100,1150,0.1360,20252,19.0842,2.0059,0.6558,1.8957,1.2975,0.4834,0,1.4502,0,21,1090.2937,9.599673e-01
1200,1250,0.1917,19268,16.9480,2.2309,0.6503,2.1340,1.2350,0.4834,0,1.4502,0,21,1424.7851,9.529948e-01
1300,1350,0.0933,20723,8.6782,2.4464,0.3691,2.4184,1.1292,0.4834,0,1.4502,0,21,1602.2353,9.553571e-01
1400,1450,0.1021,12747,356.9835,2.6358,-0.1387,2.6321,0.8973,0.4834,0,1.4502,0,21,1255.3867,9.670455e-01
1500,1550,0.0559,11652,344.0947,2.9958,-0.8210,2.8811,0.7809,0.4834,0,1.4502,0,21,1107.9048,9.783333e-01
1600,1650,0.1626,12420,338.0169,3.3899,-1.2689,3.1434,0.8213,0.4834,0,1.4502,0,21,1209.9950,9.831250e-01
1700,1750,0.0413,13118,332.4759,3.7906,-1.7517,3.3615,0.8283,0.4834,0,1.4502,0,21,1282.5055,9.825000e-01
1800,1850,0.0131,13250,328.6008,4.1078,-2.1401,3.5062,0.8520,0.4834,0,1.4502,0,21,1514.2952,9.862500e-01
1900,1950,0.0043,13069,323.8834,4.0430,-2.3831,3.2660,0.9145,0.4834,0,1.4502,0,21,1926.6899,9.858333e-01
2000,2050,0.0225,13704,316.5970,3.9260,-2.6976,2.8524,1.0168,0.4834,0,1.4502,0,21,2522.1783,9.906746e-01
2100,2150,0.0910,12255,305.7838,3.6225,-2.9386,2.1182,1.0950,0.4834,0,1.4502,0,21,4114.4234,9.908626e-01
2200,2250,0.0389,10281,296.7994,3.5961,-3.2099,1.6214,1.0651,0.4834,0,1.4502,0,21,5333.3083,9.899306e-01
2300,2350,0.0127,7744,287.7661,3.6048,-3.4329,1.0999,0.9457,0.4834,0,1.4502,0,21,5335.9917,9.968750e-01
2400,2450,0.0142,7103,280.8557,3.5244,-3.4613,0.6638,0.8943,0.4834,0,1.4502,0,21,6484.6813,9.979798e-01
2500,2550,0.0115,7124,275.2957,3.5090,-3.4940,0.3239,0.9019,0.4834,0,1.4502,0,21,6412.6593,9.988636e-01
2600,2650,0.0031,7039,268.8912,3.5257,-3.5251,-0.0682,0.9170,0.4834,0,1.4502,0,21,5610.8530,9.996212e-01
2700,2750,0.0128,7520,262.1599,3.5088,-3.4760,-0.4786,0.9910,0.4834,0,1.4502,0,21,4253.3416,9.998843e-01
2800,2850,0.0000,6549,255.5390,3.5078,-3.3967,-0.8760,1.0066,0.4834,0,1.4502,0,21,2987.2466,9.998737e-01
2900,2950,0.0000,6230,246.4924,3.4897,-3.2001,-1.3919,1.0637,0.4834,0,1.4502,0,21,2033.1073,1
