bin_lower,height,linear_eta,nbins,direction,speed,u,v,rmse,elev1,nvolumes_gr35_e1,elev2,nvolumes_gr35_e2,vcp,linear_eta_unfiltered,percent_rain
0,50,12.1668,27643,91.4558,2.8397,2.8388,-0.0721,3.7488,0.4834,0,1.4502,0,21,43.9170,4.275617e-01
100,150,5.5543,47028,74.0245,2.9528,2.8388,0.8127,2.7441,0.4834,0,1.4502,0,21,64.9334,7.230974e-01
200,250,3.0606,42099,50.4294,2.7962,2.1554,1.7813,2.0496,0.4834,0,1.4502,0,21,122.9279,7.590476e-01
300,350,2.5437,39254,43.9240,2.6326,1.8263,1.8962,2.0155,0.4834,0,1.4502,0,21,351.2766,7.841299e-01
400,450,2.4854,35132,49.7959,2.5901,1.9782,1.6719,1.8105,0.4834,0,1.4502,0,21,442.0804,7.855100e-01
500,550,1.2624,27818,55.3776,2.5899,2.1313,1.4715,1.8567,0.4834,0,1.4502,0,21,469.0130,7.499747e-01
600,650,1.1106,18142,78.3127,1.8773,1.8384,0.3803,1.4760,0.4834,0,1.4502,0,21,99.3992,6.986508e-01
700,750,0.8164,18074,65.3336,1.9733,1.7932,0.8235,1.4460,0.4834,0,1.4502,0,21,166.8111,7.033730e-01
800,850,0.8169,17170,45.4184,2.1427,1.5261,1.5040,1.3077,0.4834,0,1.4502,0,21,261.8425,7.201984e-01
900,950,0.4166,17012,32.2636,2.3446,1.2516,1.9826,1.4152,0.4834,0,1.4502,0,21,412.7006,7.482540e-01
1000,1050,0.6611,16829,22.9573,2.2982,0.8964,2.1162,1.3377,0.4834,0,1.4502,0,21,478.5202,7.550505e-01
1100,1150,0.2281,17408,9.6969,2.2045,0.3713,2.1730,1.3481,0.4834,0,1.4502,0,21,489.4152,7.999183e-01
1200,1250,0.3176,16575,356.4529,2.0702,-0.1281,2.0663,1.4882,0.4834,0,1.4502,0,21,533.9633,8.135851e-01
1300,1350,0.2015,18687,345.8403,2.0706,-0.5065,2.0077,1.3602,0.4834,0,1.4502,0,21,505.2542,7.866270e-01
1400,1450,0.3780,11980,333.5892,2.0551,-0.9141,1.8406,1.1389,0.4834,0,1.4502,0,21,468.7519,7.873737e-01
1500,1550,0.1708,10558,317.6476,2.0640,-1.3905,1.5253,1.2419,0.4834,0,1.4502,0,21,446.3000,8.345139e-01
1600,1650,0.2325,10162,305.2292,2.0540,-1.6778,1.1849,1.4124,0.4834,0,1.4502,0,21,556.7459,8.598611e-01
1700,1750,0.1602,9794,297.8990,2.1107,-1.8654,0.9876,1.7381,0.4834,0,1.4502,0,21,521.3299,8.743750e-01
1800,1850,0.1378,9761,292.3682,2.1351,-1.9745,0.8125,2.0581,0.4834,0,1.4502,0,21,693.8022,8.723611e-01
1900,1950,0.1264,10131,286.4906,1.8855,-1.8079,0.5352,2.3279,0.4834,0,1.4502,0,21,1049.5132,8.840972e-01
2000,2050,0.1103,11111,288.9377,1.9494,-1.8439,0.6327,2.5041,0.4834,0,1.4502,0,21,1775.3630,8.899471e-01
2100,2150,0.1568,10394,288.5473,1.8269,-1.7320,0.5811,2.6001,0.4834,0,1.4502,0,21,3300.0175,8.825292e-01
2200,2250,0.1586,8671,294.8883,1.8779,-1.7035,0.7903,2.6022,0.4834,0,1.4502,0,21,3599.4699,8.795139e-01
2300,2350,0.2249,6199,303.3808,2.0487,-1.7107,1.1272,2.6204,0.4834,0,1.4502,0,21,4485.5630,8.928241e-01
2400,2450,0.1814,5778,304.5387,1.9534,-1.6091,1.1075,2.5591,0.4834,0,1.4502,0,21,4813.5919,8.919192e-01
2500,2550,0.1297,5784,305.6254,2.0655,-1.6789,1.2031,2.4610,0.4834,0,1.4502,0,21,3946.8389,8.868687e-01
2600,2650,0.2062,5517,307.6610,2.3681,-1.8747,1.4469,2.2962,0.4834,0,1.4502,0,21,2719.6879,8.704545e-01
2700,2750,0.4090,5891,304.6330,2.3721,-1.9518,1.3481,2.1495,0.4834,0,1.4502,0,21,1596.6261,8.511574e-01
2800,2850,0.3666,5707,307.0320,2.3099,-1.8440,1.3912,2.0419,0.4834,0,1.4502,0,21,987.8518,8.145202e-01
2900,2950,0.2897,5995,311.1345,2.1498,-1.6192,1.4142,2.0391,0.4834,0,1.4502,0,21,681.0043,7.977273e-01
