bin_lower,height,linear_eta,nbins,direction,speed,u,v,rmse,elev1,nvolumes_gr35_e1,elev2,nvolumes_gr35_e2,vcp,linear_eta_unfiltered,percent_rain
0,50,111.7731,25984,338.9292,4.1386,-1.4879,3.8619,3.7754,0.4834,0,1.4941,0,32,111.7731,0
100,150,85.1580,44136,341.7661,4.3303,-1.3549,4.1128,3.1414,0.4834,0,1.4941,0,32,85.1580,0
200,250,33.9853,43961,347.1255,4.4962,-1.0018,4.3832,2.6782,0.4834,0,1.4941,0,32,33.9853,0
300,350,24.2296,41611,352.6363,4.6779,-0.5996,4.6393,2.6478,0.4834,0,1.4941,0,32,24.2296,0
400,450,16.9312,41776,357.1451,4.5742,-0.2278,4.5685,2.3407,0.4834,0,1.4941,0,32,16.9312,0
500,550,12.0022,35846,2.1628,4.3852,0.1655,4.3821,1.9602,0.4834,0,1.4941,0,32,12.0022,0
600,650,10.3700,21977,6.5226,3.8277,0.4348,3.8029,1.4324,0.4834,0,1.4941,0,32,10.3700,0
700,750,8.6275,21235,11.2962,3.1887,0.6246,3.1269,1.2481,0.4834,0,1.4941,0,32,8.6275,0
800,850,5.7616,19899,19.8395,2.7083,0.9192,2.5476,1.3133,0.4834,0,1.4941,0,32,5.8285,5.092593e-03
900,950,2.7281,19800,33.1151,2.4868,1.3586,2.0829,1.2902,0.4834,0,1.4941,0,32,2.9315,1.380471e-02
1000,1050,1.3823,21047,51.5853,2.3393,1.8329,1.4535,1.7218,0.4834,0,1.4941,0,32,1.6440,1.224747e-02
1100,1150,3.2773,22499,75.0605,1.9727,1.9060,0.5086,2.7898,0.4834,0,1.4941,0,32,3.2855,8.417508e-04
1200,1250,4.0490,23214,115.0987,2.1756,1.9701,-0.9228,2.6957,0.4834,0,1.4941,0,32,4.0490,0
1300,1350,0.2348,22696,137.7009,2.7286,1.8363,-2.0182,2.4787,0.4834,0,1.4941,0,32,0.2348,0
1400,1450,0.1836,18451,134.9888,3.1200,2.2066,-2.2058,2.1035,0.4834,0,1.4941,0,32,0.1836,0
1500,1550,0.1444,14154,147.6065,2.4463,1.3106,-2.0656,2.9083,0.4834,0,1.4941,0,32,0.1444,0
1600,1650,0.1625,13367,178.2811,2.6129,0.0784,-2.6118,8.1558,0.4834,0,1.4941,0,32,0.1625,0
1700,1750,0.1290,14172,184.9831,3.4376,-0.2986,-3.4246,4.2856,0.4834,0,1.4941,0,32,0.1290,0
1800,1850,0.1012,13442,188.4212,3.8719,-0.5670,-3.8301,3.9425,0.4834,0,1.4941,0,32,0.1012,0
1900,1950,0.1337,13430,195.4440,4.2119,-1.1216,-4.0598,7.7016,0.4834,0,1.4941,0,32,0.1337,0
2000,2050,0.1478,13397,199.2537,4.3547,-1.4360,-4.1112,7.2330,0.4834,0,1.4941,0,32,0.1478,4.385965e-04
2100,2150,0.0705,13508,194.3143,4.3310,-1.0708,-4.1965,5.1451,0.4834,0,1.4941,0,32,0.0725,5.847953e-04
2200,2250,0.0958,13521,187.6600,3.9664,-0.5287,-3.9310,13.4982,0.4834,0,1.4941,0,32,0.0958,0
2300,2350,0.1074,9983,179.4424,3.5775,0.0348,-3.5774,3.8796,0.4834,0,1.4941,0,32,0.1074,0
2400,2450,0.1293,7786,167.6434,3.4703,0.7426,-3.3899,4.8951,0.4834,0,1.4941,0,32,0.1293,0
2500,2550,0.0997,7802,163.8281,4.0220,1.1202,-3.8628,3.6341,0.4834,0,1.4941,0,32,0.0997,0
2600,2650,0.0272,7900,163.8247,4.0190,1.1196,-3.8599,0.3242,0.4834,0,1.4941,0,32,0.0272,0
2700,2750,0.0416,7887,163.8247,4.0159,1.1188,-3.8570,2.4926,0.4834,0,1.4941,0,32,0.0416,0
2800,2850,0.0736,7839,163.8247,4.0139,1.1182,-3.8550,,0.4834,0,1.4941,0,32,0.0736,0
2900,2950,0.0726,7120,163.8247,4.0129,1.1179,-3.8540,18.4172,0.4834,0,1.4941,0,32,0.0726,0
