bin_lower,height,linear_eta,nbins,direction,speed,u,v,rmse,elev1,nvolumes_gr35_e1,elev2,nvolumes_gr35_e2,vcp,linear_eta_unfiltered,percent_rain
0,50,142.5559,25464,337.5068,3.9394,-1.5071,3.6398,3.3539,0.4834,0,1.4941,0,32,142.5559,0
100,150,65.6610,43542,335.3356,3.9858,-1.6633,3.6222,3.3674,0.4834,0,1.4941,0,32,65.6610,0
200,250,36.8062,43871,346.6847,4.4273,-1.0196,4.3082,3.0837,0.4834,0,1.4941,0,32,36.8062,0
300,350,22.3179,41198,350.9566,4.4181,-0.6944,4.3632,2.7980,0.4834,0,1.4941,0,32,22.3179,0
400,450,16.0399,41358,353.2739,4.2158,-0.4938,4.1868,2.3546,0.4834,0,1.4941,0,32,16.0399,0
500,550,15.8648,35787,357.7526,4.0999,-0.1608,4.0967,2.0792,0.4834,0,1.4941,0,32,15.8648,0
600,650,9.9770,22176,4.0376,3.8008,0.2676,3.7914,1.6132,0.4834,0,1.4941,0,32,9.9770,0
700,750,9.8469,21965,8.3386,3.4456,0.4997,3.4092,1.4105,0.4834,0,1.4941,0,32,9.8469,0
800,850,7.4665,21215,14.4170,3.1711,0.7895,3.0712,1.4173,0.4834,0,1.4941,0,32,7.4665,0
900,950,3.5573,20301,22.6737,2.7618,1.0646,2.5484,1.4408,0.4834,0,1.4941,0,32,3.5573,0
1000,1050,1.5281,21055,25.7715,2.2862,0.9940,2.0588,2.3804,0.4834,0,1.4941,0,32,1.5281,0
1100,1150,0.6292,22300,55.2434,1.8577,1.5262,1.0590,2.6371,0.4834,0,1.4941,0,32,0.6292,0
1200,1250,0.3397,22874,109.0680,1.9094,1.8046,-0.6238,3.2895,0.4834,0,1.4941,0,32,0.3397,0
1300,1350,0.2162,22610,107.3761,2.4956,2.3817,-0.7453,3.2574,0.4834,0,1.4941,0,32,0.2162,0
1400,1450,0.1765,18377,122.3178,2.4404,2.0624,-1.3047,6.9253,0.4834,0,1.4941,0,32,0.1765,0
1500,1550,0.1394,14208,113.1483,2.7753,2.5519,-1.0910,9.8980,0.4834,0,1.4941,0,32,0.1394,0
1600,1650,0.1413,13502,110.5176,3.0503,2.8568,-1.0691,8.1512,0.4834,0,1.4941,0,32,0.1413,0
1700,1750,0.0925,14175,111.0354,2.9887,2.7895,-1.0728,9.9197,0.4834,0,1.4941,0,32,0.0925,0
1800,1850,0.0853,13457,116.2244,2.6385,2.3669,-1.1659,17.3192,0.4834,0,1.4941,0,32,0.0853,0
1900,1950,0.1159,13440,117.1757,2.4144,2.1478,-1.1027,12.2390,0.4834,0,1.4941,0,32,0.1159,0
2000,2050,0.1435,13349,133.6087,2.1269,1.5400,-1.4670,14.0107,0.4834,0,1.4941,0,32,0.1435,0
2100,2150,0.0736,13549,150.6145,2.1274,1.0439,-1.8536,15.0462,0.4834,0,1.4941,0,32,0.0736,0
2200,2250,0.1265,13552,155.3147,2.0192,0.8433,-1.8347,17.4663,0.4834,0,1.4941,0,32,0.1265,0
2300,2350,0.1130,9990,169.1268,2.1741,0.4101,-2.1351,10.8455,0.4834,0,1.4941,0,32,0.1130,0
2400,2450,0.1065,7847,177.7963,2.2255,0.0856,-2.2238,5.3398,0.4834,0,1.4941,0,32,0.1065,0
2500,2550,0.0790,7847,216.5269,3.3750,-2.0088,-2.7121,3.4201,0.4834,0,1.4941,0,32,0.0790,0
2600,2650,0.0341,7907,217.2912,2.8614,-1.7336,-2.2765,5.5538,0.4834,0,1.4941,0,32,0.0341,0
2700,2750,0.0537,7894,216.5460,2.0536,-1.2228,-1.6498,,0.4834,0,1.4941,0,32,0.0537,0
2800,2850,0.1021,7849,214.8329,1.2467,-0.7121,-1.0233,1.8749,0.4834,0,1.4941,0,32,0.1021,0
2900,2950,0.0798,7123,214.8359,1.2467,-0.7122,-1.0233,1.3090,0.4834,0,1.4941,0,32,0.0798,0
