bin_lower,height,linear_eta,nbins,direction,speed,u,v,rmse,elev1,nvolumes_gr35_e1,elev2,nvolumes_gr35_e2,vcp,linear_eta_unfiltered,percent_rain
0,50,214.1635,26802,48.6067,1.6876,1.2660,1.1159,7.0447,0.4834,0,1.4941,0,32,339.8860,2.317866e-01
100,150,74.9965,46194,54.6905,4.0046,3.2680,2.3147,7.2742,0.4834,0,1.4941,0,32,231.6339,4.993849e-01
200,250,45.4912,46300,59.0772,4.6219,3.9650,2.3751,6.7240,0.4834,0,1.4941,0,32,70.2162,3.715675e-01
300,350,8.7982,43798,64.0399,4.8168,4.3307,2.1085,5.9314,0.4834,0,1.4941,0,32,44.6276,2.772803e-01
400,450,9.3868,44040,62.9756,4.5640,4.0657,2.0738,5.3088,0.4834,0,1.4941,0,32,30.9769,2.066453e-01
500,550,17.2645,38190,68.5223,5.1081,4.7534,1.8703,4.9734,0.4834,0,1.4941,0,32,33.9258,1.741071e-01
600,650,0.7942,23774,72.7311,5.3354,5.0949,1.5839,4.0385,0.4834,0,1.4941,0,32,8.3005,2.133987e-01
700,750,0.4745,23664,79.2837,4.7868,4.7033,0.8901,3.8777,0.4834,0,1.4941,0,32,27.3776,1.855801e-01
800,850,2.0878,22585,83.7209,4.1789,4.1539,0.4571,4.2222,0.4834,0,1.4941,0,32,15.5310,1.604377e-01
900,950,0.4222,22818,81.8700,3.7027,3.6655,0.5236,3.6479,0.4834,0,1.4941,0,32,14.8724,1.509259e-01
1000,1050,0.4036,22630,78.7884,3.8776,3.8036,0.7539,4.3832,0.4834,0,1.4941,0,32,11.7915,1.569024e-01
1100,1150,0.2247,22460,78.7160,2.9422,2.8853,0.5757,2.8740,0.4834,0,1.4941,0,32,19.4547,1.582492e-01
1200,1250,0.1460,22204,67.4752,2.6506,2.4484,1.0154,3.9662,0.4834,0,1.4941,0,32,21.0807,1.478114e-01
1300,1350,0.1492,21228,0.2994,1.7172,0.0090,1.7171,3.4122,0.4834,0,1.4941,0,32,8.0871,1.347222e-01
1400,1450,0.1233,16997,343.1066,1.0201,-0.2964,0.9760,3.9326,0.4834,0,1.4941,0,32,12.4008,1.431090e-01
1500,1550,0.1965,13201,228.0638,1.2465,-0.9273,-0.8330,4.1285,0.4834,0,1.4941,0,32,15.8104,1.750000e-01
1600,1650,0.1411,12584,225.5422,1.2286,-0.8769,-0.8605,2.9817,0.4834,0,1.4941,0,32,18.8742,2.020468e-01
1700,1750,0.1476,13392,232.9936,2.1128,-1.6872,-1.2717,1.9767,0.4834,0,1.4941,0,32,25.4331,2.155556e-01
1800,1850,0.1495,12926,225.7437,1.8106,-1.2968,-1.2636,1.6348,0.4834,0,1.4941,0,32,42.9553,2.026316e-01
1900,1950,0.1242,13068,215.2878,1.8515,-1.0696,-1.5113,1.3751,0.4834,0,1.4941,0,32,60.7989,1.931287e-01
2000,2050,0.1811,13127,228.4885,2.2938,-1.7177,-1.5203,1.6101,0.4834,0,1.4941,0,32,60.0162,1.900585e-01
2100,2150,0.1532,13283,234.7566,2.8425,-2.3215,-1.6403,1.1764,0.4834,0,1.4941,0,32,46.9955,1.894737e-01
2200,2250,0.1634,13301,233.1518,2.9872,-2.3905,-1.7914,1.1475,0.4834,0,1.4941,0,32,61.5200,1.962719e-01
2300,2350,0.1340,9821,230.6866,2.8543,-2.2084,-1.8084,1.0797,0.4834,0,1.4941,0,32,114.9631,2.057540e-01
2400,2450,0.1765,7792,229.2709,2.7264,-2.0661,-1.7789,1.0769,0.4834,0,1.4941,0,32,140.2647,2.151515e-01
2500,2550,0.1347,7682,234.3158,2.8172,-2.2882,-1.6433,1.4818,0.4834,0,1.4941,0,32,145.2284,1.944444e-01
2600,2650,0.1536,7710,235.0258,2.6907,-2.2048,-1.5423,1.0118,0.4834,0,1.4941,0,32,55.2235,1.419192e-01
2700,2750,0.1314,7796,237.9861,2.8482,-2.4150,-1.5099,0.9326,0.4834,0,1.4941,0,32,58.7862,1.231061e-01
2800,2850,0.1249,7805,238.5533,2.6032,-2.2208,-1.3581,0.8896,0.4834,0,1.4941,0,32,35.0056,1.140152e-01
2900,2950,0.1438,7129,223.3965,2.0602,-1.4155,-1.4970,1.4263,0.4834,0,1.4941,0,32,16.6808,9.111111e-02
