bin_lower,height,linear_eta,nbins,direction,speed,u,v,rmse,elev1,nvolumes_gr35_e1,elev2,nvolumes_gr35_e2,vcp,linear_eta_unfiltered,percent_rain
0,50,321.3622,26537,16.9910,2.0967,0.6127,2.0052,7.8477,0.4834,0,1.4941,0,32,321.3622,0
100,150,144.0953,45752,28.1630,2.7984,1.3208,2.4671,7.4157,0.4834,0,1.4941,0,32,145.3145,8.144841e-02
200,250,47.8555,46387,33.7731,4.2791,2.3788,3.5570,6.9760,0.4834,0,1.4941,0,32,49.3117,1.177183e-01
300,350,13.9976,44007,33.4977,4.0995,2.2625,3.4186,6.9420,0.4834,0,1.4941,0,32,16.2912,8.996683e-02
400,450,4.5969,44467,38.9766,4.8381,3.0432,3.7612,5.9464,0.4834,0,1.4941,0,32,9.9323,7.707265e-02
500,550,2.8181,38607,54.0270,4.5768,3.7040,2.6884,5.5208,0.4834,0,1.4941,0,32,4.6420,5.290179e-02
600,650,0.8930,24046,73.8839,5.0519,4.8533,1.4023,5.7483,0.4834,0,1.4941,0,32,1.0617,3.778595e-02
700,750,0.5097,23920,75.1423,4.6859,4.5292,1.2016,6.7803,0.4834,0,1.4941,0,32,0.5628,2.365196e-02
800,850,0.2623,23281,80.7539,3.3206,3.2775,0.5335,6.8097,0.4834,0,1.4941,0,32,0.2901,1.468855e-02
900,950,0.1927,23364,62.2744,3.5250,3.1203,1.6400,7.4642,0.4834,0,1.4941,0,32,0.3661,2.306397e-02
1000,1050,0.2198,23060,60.9342,3.9578,3.4594,1.9228,7.2317,0.4834,0,1.4941,0,32,0.5188,3.118687e-02
1100,1150,0.1904,23007,53.1723,2.9047,2.3250,1.7411,5.8824,0.4834,0,1.4941,0,32,0.6815,3.758418e-02
1200,1250,0.2572,23165,48.6550,2.2849,1.7154,1.5094,6.8854,0.4834,0,1.4941,0,32,1.7024,3.712121e-02
1300,1350,0.2796,22610,42.8165,1.0877,0.7393,0.7979,5.2638,0.4834,0,1.4941,0,32,1.5696,3.467882e-02
1400,1450,0.1956,18316,78.2056,1.2474,1.2210,0.2550,6.8012,0.4834,0,1.4941,0,32,0.7838,3.728632e-02
1500,1550,0.0826,13912,124.2705,1.5799,1.3056,-0.8897,6.7807,0.4834,0,1.4941,0,32,0.4445,3.979167e-02
1600,1650,0.1068,13295,137.5152,2.0412,1.3786,-1.5053,5.3977,0.4834,0,1.4941,0,32,0.9924,5.833333e-02
1700,1750,0.1239,13946,139.1227,2.4260,1.5876,-1.8343,2.9678,0.4834,0,1.4941,0,32,1.7726,7.395833e-02
1800,1850,0.1528,13325,139.3814,2.4487,1.5942,-1.8587,2.4171,0.4834,0,1.4941,0,32,2.4242,7.668129e-02
1900,1950,0.1449,13110,205.6587,1.8005,-0.7796,-1.6229,3.0002,0.4834,0,1.4941,0,32,1.2130,7.945906e-02
2000,2050,0.1043,13122,220.8359,1.9821,-1.2961,-1.4996,2.6839,0.4834,0,1.4941,0,32,2.1442,8.135965e-02
2100,2150,0.1382,13346,210.7873,1.8594,-0.9517,-1.5973,2.0800,0.4834,0,1.4941,0,32,3.0025,6.776316e-02
2200,2250,0.1082,13385,170.6689,1.9100,0.3097,-1.8848,0.9686,0.4834,0,1.4941,0,32,1.7631,6.754386e-02
2300,2350,0.1004,9914,135.5116,3.0618,2.1456,-2.1843,1.2007,0.4834,0,1.4941,0,32,11.1953,7.539683e-02
2400,2450,0.1420,7789,150.0293,2.2002,1.0991,-1.9060,0.8706,0.4834,0,1.4941,0,32,5.1108,7.790404e-02
2500,2550,0.1046,7739,186.2759,1.6140,-0.1764,-1.6043,0.5979,0.4834,0,1.4941,0,32,5.7814,7.967172e-02
2600,2650,0.0570,7794,166.4610,1.7990,0.4212,-1.7490,0.6718,0.4834,0,1.4941,0,32,5.9079,6.830808e-02
2700,2750,0.0473,7770,175.2829,1.6156,0.1329,-1.6101,0.4727,0.4834,0,1.4941,0,32,1.4886,5.542929e-02
2800,2850,0.0713,7739,172.5635,1.5749,0.2038,-1.5617,0.4947,0.4834,0,1.4941,0,32,1.3143,5.063131e-02
2900,2950,0.0489,7036,175.4169,1.6019,0.1280,-1.5968,0.5716,0.4834,0,1.4941,0,32,0.9958,4.930556e-02
