bin_lower,height,linear_eta,nbins,direction,speed,u,v,rmse,elev1,nvolumes_gr35_e1,elev2,nvolumes_gr35_e2,vcp,linear_eta_unfiltered,percent_rain
0,50,6.3846,26722,97.2097,1.1777,1.1684,-0.1478,5.0216,0.4834,0,1.4941,0,32,15.1201,3.318497e-01
100,150,3.0250,44716,73.9286,2.4336,2.3385,0.6737,2.7629,0.4834,0,1.4941,0,32,27.1003,6.397222e-01
200,250,0.3824,42829,68.3566,2.9249,2.7187,1.0788,1.9478,0.4834,0,1.4941,0,32,82.0989,8.098214e-01
300,350,0.4689,38551,60.6620,2.7567,2.4031,1.3507,2.0643,0.4834,0,1.4941,0,32,162.1186,7.928068e-01
400,450,0.7650,37683,58.0541,2.7010,2.2919,1.4292,2.4071,0.4834,0,1.4941,0,32,264.4472,6.884402e-01
500,550,0.6138,29801,65.6512,2.9985,2.7318,1.2362,2.6432,0.4834,0,1.4941,0,32,268.5135,6.387897e-01
600,650,0.6187,17528,82.0372,2.0409,2.0213,0.2827,1.9958,0.4834,0,1.4941,0,32,71.3264,6.593546e-01
700,750,0.5946,16906,78.5951,1.9096,1.8719,0.3776,2.0303,0.4834,0,1.4941,0,32,129.6732,6.790441e-01
800,850,0.7188,15576,60.3405,1.7356,1.5082,0.8588,2.0278,0.4834,0,1.4941,0,32,140.6486,6.758418e-01
900,950,0.2222,14715,40.5194,1.5072,0.9793,1.1458,2.0329,0.4834,0,1.4941,0,32,305.6198,7.108165e-01
1000,1050,0.2528,14646,20.3519,1.5549,0.5408,1.4578,2.0646,0.4834,0,1.4941,0,32,408.3691,7.223064e-01
1100,1150,0.1133,14436,342.6106,1.3114,-0.3919,1.2514,1.9100,0.4834,0,1.4941,0,32,390.8996,7.393939e-01
1200,1250,0.1235,14122,325.4367,1.5144,-0.8591,1.2471,1.8772,0.4834,0,1.4941,0,32,410.9382,7.671717e-01
1300,1350,0.1785,14946,312.2015,1.5164,-1.1234,1.0187,1.6365,0.4834,0,1.4941,0,32,406.4750,7.924045e-01
1400,1450,0.1108,11681,288.7817,1.5748,-1.4910,0.5070,1.6729,0.4834,0,1.4941,0,32,435.6329,8.356303e-01
1500,1550,0.0678,8827,270.3894,1.9344,-1.9344,0.0131,1.4278,0.4834,0,1.4941,0,32,304.9467,8.781250e-01
1600,1650,0.0613,8575,255.4472,2.0933,-2.0262,-0.5260,1.5571,0.4834,0,1.4941,0,32,265.5120,8.997807e-01
1700,1750,0.0564,9297,244.1518,2.2165,-1.9947,-0.9664,1.5947,0.4834,0,1.4941,0,32,380.8574,9.071528e-01
1800,1850,0.0574,9319,233.0620,2.2052,-1.7626,-1.3252,1.8271,0.4834,0,1.4941,0,32,569.9375,9.010234e-01
1900,1950,0.1071,9868,225.3808,2.1070,-1.4997,-1.4799,2.0436,0.4834,0,1.4941,0,32,1108.6796,8.967105e-01
2000,2050,0.0528,9918,217.4965,2.0081,-1.2223,-1.5932,2.1338,0.4834,0,1.4941,0,32,1858.3380,9.157895e-01
2100,2150,0.0416,10297,213.0615,1.8198,-0.9928,-1.5251,2.1771,0.4834,0,1.4941,0,32,2702.9970,9.154971e-01
2200,2250,0.0385,10399,209.2664,1.7384,-0.8499,-1.5165,2.2343,0.4834,0,1.4941,0,32,3180.2907,9.119883e-01
2300,2350,0.0520,7719,203.8368,1.4680,-0.5933,-1.3428,2.2146,0.4834,0,1.4941,0,32,3348.1955,9.283730e-01
2400,2450,0.0351,6179,201.6439,1.2193,-0.4497,-1.1333,2.0974,0.4834,0,1.4941,0,32,2975.2134,9.303030e-01
2500,2550,0.0332,5913,213.3103,1.1313,-0.6213,-0.9455,2.0885,0.4834,0,1.4941,0,32,2266.5600,9.165404e-01
2600,2650,0.0615,5087,230.4050,1.2763,-0.9835,-0.8135,2.0743,0.4834,0,1.4941,0,32,1757.6895,8.928030e-01
2700,2750,0.0309,4882,231.6764,1.2469,-0.9782,-0.7732,1.8800,0.4834,0,1.4941,0,32,775.0494,8.757576e-01
2800,2850,0.0627,5311,235.7610,1.0502,-0.8682,-0.5909,1.6590,0.4834,0,1.4941,0,32,543.4692,8.678030e-01
2900,2950,0.0813,5212,221.8976,0.9514,-0.6353,-0.7081,1.6806,0.4834,0,1.4941,0,32,419.7209,8.331944e-01
