bin_lower,height,linear_eta,nbins,direction,speed,u,v,rmse,elev1,nvolumes_gr35_e1,elev2,nvolumes_gr35_e2,vcp,linear_eta_unfiltered,percent_rain
0,50,219.4503,25476,347.9168,2.6496,-0.5547,2.5909,4.8245,0.4834,0,1.4941,0,32,219.4503,0
100,150,153.0779,43838,353.9412,3.0718,-0.3242,3.0547,4.6467,0.4834,0,1.4941,0,32,153.0779,0
200,250,49.9823,44097,356.1440,3.2130,-0.2161,3.2057,3.9228,0.4834,0,1.4941,0,32,49.9823,0
300,350,26.7936,40474,1.7027,3.1341,0.0931,3.1327,3.6366,0.4834,0,1.4941,0,32,26.7936,0
400,450,16.1402,40560,10.4305,3.0432,0.5509,2.9929,2.7092,0.4834,0,1.4941,0,32,16.1402,0
500,550,6.4060,35644,25.5240,2.9587,1.2749,2.6699,2.2094,0.4834,0,1.4941,0,32,6.4060,0
600,650,2.8833,22078,29.8282,3.1093,1.5466,2.6974,1.7608,0.4834,0,1.4941,0,32,2.8833,0
700,750,1.4870,22373,22.0986,3.0056,1.1307,2.7848,1.6591,0.4834,0,1.4941,0,32,1.4870,0
800,850,0.8640,22041,8.9373,2.7168,0.4221,2.6839,2.0026,0.4834,0,1.4941,0,32,0.8640,0
900,950,0.4418,22705,345.2413,2.4126,-0.6146,2.3330,2.0428,0.4834,0,1.4941,0,32,0.4418,0
1000,1050,0.3325,22947,355.5303,1.5283,-0.1191,1.5237,2.6869,0.4834,0,1.4941,0,32,0.3328,1.220539e-03
1100,1150,0.2633,23295,128.6184,0.8563,0.6690,-0.5344,3.8615,0.4834,0,1.4941,0,32,0.2647,2.398990e-03
1200,1250,0.1414,23316,155.5105,1.2261,0.5083,-1.1158,5.4610,0.4834,0,1.4941,0,32,0.1425,1.641414e-03
1300,1350,0.1572,22689,170.8746,1.5848,0.2514,-1.5648,5.7073,0.4834,0,1.4941,0,32,0.1580,1.085069e-03
1400,1450,0.2259,18392,169.7262,1.7333,0.3091,-1.7055,8.9932,0.4834,0,1.4941,0,32,0.2297,2.991453e-03
1500,1550,0.1483,14134,164.7521,2.1656,0.5695,-2.0893,8.2152,0.4834,0,1.4941,0,32,0.1509,1.666667e-03
1600,1650,0.1369,13410,173.1228,2.5992,0.3112,-2.5805,7.2129,0.4834,0,1.4941,0,32,0.1385,1.169591e-03
1700,1750,0.0823,14170,179.6332,2.2913,0.0147,-2.2912,9.8820,0.4834,0,1.4941,0,32,0.0850,3.680556e-03
1800,1850,0.0925,13515,183.8360,2.0644,-0.1381,-2.0598,10.8200,0.4834,0,1.4941,0,32,0.0944,2.485380e-03
1900,1950,0.0873,13484,176.2468,2.0155,0.1319,-2.0112,13.4107,0.4834,0,1.4941,0,32,0.0875,5.116959e-04
2000,2050,0.1616,13418,162.0812,2.1807,0.6709,-2.0749,8.7206,0.4834,0,1.4941,0,32,0.1625,5.847953e-04
2100,2150,0.0812,13537,153.3270,2.2541,1.0118,-2.0142,2.0177,0.4834,0,1.4941,0,32,0.0812,0
2200,2250,0.0946,13565,158.0089,2.1348,0.7994,-1.9794,10.4642,0.4834,0,1.4941,0,32,0.0946,2.192982e-04
2300,2350,0.1095,9978,165.3399,2.0609,0.5216,-1.9938,8.2620,0.4834,0,1.4941,0,32,0.1095,0
2400,2450,0.1116,7818,168.6644,1.8013,0.3541,-1.7662,3.9398,0.4834,0,1.4941,0,32,0.1116,0
2500,2550,0.0904,7809,172.9056,1.5408,0.1903,-1.5290,8.3724,0.4834,0,1.4941,0,32,0.0922,8.838384e-04
2600,2650,0.0481,7901,171.1527,1.3986,0.2151,-1.3819,9.1513,0.4834,0,1.4941,0,32,0.0481,0
2700,2750,0.0539,7882,169.8191,1.2450,0.2201,-1.2254,0.4878,0.4834,0,1.4941,0,32,0.0539,0
2800,2850,0.1006,7847,168.1118,1.0925,0.2251,-1.0691,8.6950,0.4834,0,1.4941,0,32,0.1006,0
2900,2950,0.1238,7150,165.8614,0.9400,0.2296,-0.9116,9.1529,0.4834,0,1.4941,0,32,0.1238,0
