bin_lower,height,linear_eta,nbins,direction,speed,u,v,rmse,elev1,nvolumes_gr35_e1,elev2,nvolumes_gr35_e2,vcp,linear_eta_unfiltered,percent_rain
0,50,6.4969,28036,326.7957,4.8716,-2.6678,4.0761,2.3308,0.4834,0,1.4502,0,21,155.2989,8.597840e-01
100,150,2.6914,48730,331.4246,5.3130,-2.5413,4.6658,1.8795,0.4834,0,1.4502,0,21,204.6335,8.985921e-01
200,250,1.2113,46319,333.5916,5.5316,-2.4603,4.9543,1.7021,0.4834,0,1.4502,0,21,265.6525,9.130556e-01
300,350,1.7814,43900,333.0541,5.5407,-2.5108,4.9392,1.9184,0.4834,0,1.4502,0,21,415.4185,9.245915e-01
400,450,1.9564,44382,333.0199,5.3571,-2.4304,4.7741,1.8394,0.4834,0,1.4502,0,21,802.6014,9.196310e-01
500,550,1.1322,35903,332.2382,5.0832,-2.3678,4.4981,1.7763,0.4834,0,1.4502,0,21,1026.5348,9.226263e-01
600,650,1.0466,23167,329.3231,4.8993,-2.4996,4.2137,1.2739,0.4834,0,1.4502,0,21,319.2171,9.537698e-01
700,750,0.5256,21563,325.7223,4.2133,-2.3729,3.4815,1.2713,0.4834,0,1.4502,0,21,402.3454,9.654365e-01
800,850,0.4683,19930,323.2638,3.2635,-1.9520,2.6153,1.2927,0.4834,0,1.4502,0,21,496.7600,9.769048e-01
900,950,0.2139,18649,335.5649,2.2962,-0.9498,2.0905,1.3242,0.4834,0,1.4502,0,21,620.4727,9.704762e-01
1000,1050,0.0686,17992,5.5099,1.8984,0.1823,1.8896,1.3349,0.4834,0,1.4502,0,21,908.4721,9.592172e-01
1100,1150,0.1978,20035,17.7017,2.0008,0.6084,1.9060,1.1847,0.4834,0,1.4502,0,21,997.0757,9.548611e-01
1200,1250,0.1941,19193,18.3306,2.2134,0.6961,2.1011,1.1912,0.4834,0,1.4502,0,21,1327.1774,9.539497e-01
1300,1350,0.2430,20818,9.9594,2.4119,0.4171,2.3756,1.1478,0.4834,0,1.4502,0,21,1465.1832,9.442063e-01
1400,1450,0.1427,12739,358.5582,2.6031,-0.0655,2.6023,1.0425,0.4834,0,1.4502,0,21,1059.2908,9.549242e-01
1500,1550,0.7529,11325,344.1486,2.9625,-0.8092,2.8499,0.8936,0.4834,0,1.4502,0,21,851.1944,9.666667e-01
1600,1650,0.0638,12025,338.2017,3.3283,-1.2359,3.0904,0.9118,0.4834,0,1.4502,0,21,1064.3643,9.640972e-01
1700,1750,0.0376,12906,332.7513,3.7211,-1.7037,3.3081,0.8840,0.4834,0,1.4502,0,21,1188.3296,9.700694e-01
1800,1850,0.0263,13263,328.6102,4.0171,-2.0924,3.4292,0.8948,0.4834,0,1.4502,0,21,1300.9265,9.843056e-01
1900,1950,0.0303,12990,323.0591,3.9332,-2.3638,3.1437,0.9764,0.4834,0,1.4502,0,21,1805.0717,9.842361e-01
2000,2050,0.0518,13602,314.5507,3.8273,-2.7275,2.6850,1.0414,0.4834,0,1.4502,0,21,2348.0949,9.903439e-01
2100,2150,0.0369,12216,303.1760,3.5530,-2.9739,1.9443,1.0814,0.4834,0,1.4502,0,21,3848.2837,9.916667e-01
2200,2250,0.0801,10246,293.3916,3.5590,-3.2665,1.4130,1.0303,0.4834,0,1.4502,0,21,5204.0352,9.894097e-01
2300,2350,0.0259,7659,284.0644,3.5904,-3.4828,0.8725,0.9304,0.4834,0,1.4502,0,21,5281.4050,9.978009e-01
2400,2450,0.0192,7049,277.2837,3.5447,-3.5161,0.4494,0.9009,0.4834,0,1.4502,0,21,5962.7279,9.977273e-01
2500,2550,0.0104,7091,272.5030,3.5207,-3.5173,0.1538,0.9209,0.4834,0,1.4502,0,21,5564.1180,9.989899e-01
2600,2650,0.0064,7074,266.1934,3.5046,-3.4969,-0.2327,0.9070,0.4834,0,1.4502,0,21,5090.6859,9.993687e-01
2700,2750,0.0000,7599,260.2962,3.5163,-3.4660,-0.5927,0.9584,0.4834,0,1.4502,0,21,4218.7397,1
2800,2850,0.0000,6669,252.6887,3.4766,-3.3191,-1.0345,0.9211,0.4834,0,1.4502,0,21,2729.0275,1
2900,2950,0.0000,6201,244.9147,3.4445,-3.1196,-1.4603,0.9603,0.4834,0,1.4502,0,21,1870.8956,1
